Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League,Fls,Fld,Crs,Int,TklW,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Gls/90,Ast/90,Fls/90,Fld/90,Crs/90,Int/90,TklW/90
313,Valentino Livramento,eng ENG,DF,Newcastle United,21,2002,37,32,2840,31.6,0,1,1,0,0,0,1,0,0,0.03,0.03,0,0.03,313,eng ENG,DF,21,2002,31.6,0,6.0,2.0,33.3,0.18987341772151897,0.06329113924050632,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,6.0,35.0,52.0,26.0,34.0,,,,,,,,,0.0,0.03164556962025316,0.18987341772151897,1.1075949367088607,1.6455696202531644,0.8227848101265822,1.0759493670886076
57,Victor Bernth Kristiansen,dk DEN,"DF,MF",Leicester City,21,2002,30,29,2482,27.6,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,57,dk DEN,"DF,MF",21,2002,27.6,0,3.0,0.0,0,0.10869565217391304,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,19.0,18.0,96.0,37.0,51.0,,,,,,,,,0.0,0.036231884057971016,0.6884057971014492,0.6521739130434783,3.4782608695652173,1.3405797101449275,1.8478260869565217
311,Victor Lindelöf,se SWE,DF,Manchester Utd,30,1994,16,6,704,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,311,se SWE,DF,30,1994,7.8,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,8.0,1.0,1.0,7.0,2.0,,,,,,,,,0.0,0.0,1.0256410256410258,0.12820512820512822,0.12820512820512822,0.8974358974358975,0.25641025641025644
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,37,3330,37.0,3,1,4,3,0,0,5,0,0.08,0.03,0.11,0.08,0.11,531,nl NED,DF,33,1991,37,3,26.0,8.0,30.8,0.7027027027027027,0.21621621621621623,0.12,0.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,17.0,13.0,1.0,54.0,20.0,,,,,,,,,0.08108108108108109,0.02702702702702703,0.4594594594594595,0.35135135135135137,0.02702702702702703,1.4594594594594594,0.5405405405405406
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25,1999,35,35,3082,34.2,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,375,ua UKR,DF,25,1999,34.2,1,14.0,1.0,7.1,0.4093567251461988,0.029239766081871343,0.07,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,22.0,34.0,100.0,42.0,38.0,,,,,,,,,0.029239766081871343,0.05847953216374269,0.6432748538011696,0.9941520467836257,2.923976608187134,1.2280701754385963,1.111111111111111
257,Vitaly Janelt,de GER,MF,Brentford,26,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.04,0.12,0.16,0.04,0.16,257,de GER,MF,26,1998,25,1,14.0,4.0,28.6,0.56,0.16,0.07,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,25.0,15.0,31.0,27.0,24.0,,,,,,,,,0.04,0.12,1.0,0.6,1.24,1.08,0.96
258,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,258,cz CZE,GK,23,2001,0.1,0,0.0,0.0,,0.0,0.0,,,0,0,14,cz CZE,GK,23,2001,1,0,12,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Premier League,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,Vitor Reis,br BRA,DF,Manchester City,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,br BRA,DF,18,2006,0,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Vladimír Coufal,cz CZE,"DF,MF",West Ham United,31,1992,22,11,1067,11.9,0,0,0,0,0,0,5,0,0,0,0,0,0,111,cz CZE,"DF,MF",31,1992,11.9,0,7.0,2.0,28.6,0.5882352941176471,0.1680672268907563,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,22.0,16.0,28.0,8.0,16.0,,,,,,,,,0.0,0.0,1.8487394957983192,1.3445378151260503,2.3529411764705883,0.6722689075630252,1.3445378151260503
167,Wataru Endo,jp JPN,MF,Liverpool,31,1993,20,1,273,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,jp JPN,MF,31,1993,3,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,15.0,7.0,1.0,6.0,8.0,,,,,,,,,0.0,0.0,5.0,2.3333333333333335,0.3333333333333333,2.0,2.6666666666666665
