,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
85,Charlie Brown,eng ENG,"FW,MF",Morecambe,24,1999,4,0,47,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
86,Charlie Brown,eng ENG,MF,Accrington Stanley,24,1999,12,1,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Henry Brown,,MF,Grimsby Town,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Jaxon Brown,,MF,Swindon Town,,,3,2,148,1.6,0,1,1,0,0,0,0,0,0,0.61,0.61,0,0.61,Matches
89,Jevani Brown,jm JAM,MF,Notts County,29,1994,14,4,487,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
90,Marcus Browne,eng ENG,"MF,FW",AFC Wimbledon,26,1997,18,10,997,11.1,4,1,5,4,0,0,4,0,0.36,0.09,0.45,0.36,0.45,Matches
91,Omar Bugiel,lb LIB,FW,AFC Wimbledon,30,1994,39,34,"2,852",31.7,4,2,6,4,0,0,9,0,0.13,0.06,0.19,0.13,0.19,Matches
92,Tyler Burey,eng ENG,MF,Carlisle United,22,2001,10,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
93,Harry Burgoyne,eng ENG,GK,Morecambe,27,1996,28,26,"2,415",26.8,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
94,Darragh Burns,nir NIR,"MF,FW",Grimsby Town,21,2002,9,2,248,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
95,Warren Burrell,eng ENG,"DF,MF",Harrogate Town FC,34,1990,27,19,"1,873",20.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Daniel Butterworth,eng ENG,"FW,MF",Carlisle United,24,1999,3,0,44,0.5,0,1,1,0,0,0,0,0,0,2.05,2.05,0,2.05,Matches
97,Daniel Butterworth,eng ENG,"MF,FW",Swindon Town,24,1999,34,20,"1,897",21.1,5,2,7,5,0,0,3,0,0.24,0.09,0.33,0.24,0.33,Matches
98,Jack Bycroft,eng ENG,GK,Swindon Town,22,2001,21,20,"1,820",20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,George Byers,sct SCO,MF,Port Vale,28,1996,23,14,"1,343",14.9,2,1,3,2,0,0,3,0,0.13,0.07,0.2,0.13,0.2,Matches
100,Neill Byrne,ie IRL,DF,Bradford City,31,1993,27,24,"2,091",23.2,2,0,2,2,0,0,6,0,0.09,0,0.09,0.09,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Jake Cain,eng ENG,"DF,MF",Swindon Town,22,2001,19,9,787,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
102,Kyle Cameron,sct SCO,DF,Barrow,27,1997,17,16,"1,360",15.1,1,0,1,1,0,0,1,1,0.07,0,0.07,0.07,0.07,Matches
103,Dean Campbell,sct SCO,MF,Barrow,23,2001,33,28,"2,611",29,1,0,1,1,0,0,7,0,0.03,0,0.03,0.03,0.03,Matches
104,Niall Canavan,ie IRL,DF,Barrow,33,1991,36,35,"3,151",35,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
105,Jacob Carney,eng ENG,GK,Newport County,23,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Tom Carroll,eng ENG,MF,Milton Keynes Dons,32,1992,14,3,485,5.4,0,2,2,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
107,Matthew Carson,eng ENG,DF,Grimsby Town,21,2002,9,0,142,1.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
108,Lewis Cass,eng ENG,DF,Grimsby Town,24,2000,26,18,"1,657",18.4,1,1,2,1,0,0,3,1,0.05,0.05,0.11,0.05,0.11,Matches
109,Charlie Caton,eng ENG,FW,Accrington Stanley,21,2002,12,4,382,4.2,0,1,1,0,0,0,0,0,0,0.24,0.24,0,0.24,Matches
110,Alfie Chang,eng ENG,MF,Walsall,21,2002,5,3,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
111,Ashley Charles,gd GRN,MF,Bromley,25,1999,28,25,"1,979",22,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05,Matches
112,Taylor Charters,eng ENG,"MF,FW",Carlisle United,22,2001,6,2,199,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
113,Michael Cheek,eng ENG,FW,Bromley,36,1988,45,44,"3,786",42.1,25,7,32,16,9,10,8,0,0.59,0.17,0.76,0.38,0.55,Matches
114,Daniel Chesters,eng ENG,"MF,DF",Salford City FC,22,2002,7,5,448,5,0,1,1,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
115,Adam Chicksen,zw ZIM,MF,Notts County,32,1991,2,2,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Ethan Chislett,eng ENG,"MF,FW",Port Vale,24,2000,25,16,"1,394",15.5,4,1,5,3,1,1,3,0,0.26,0.06,0.32,0.19,0.26,Matches
117,Madou Cisse,,FW,Notts County,,,2,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Max Clark,eng ENG,"DF,MF",Gillingham,28,1996,40,39,"3,383",37.6,3,5,8,1,2,2,6,0,0.08,0.13,0.21,0.03,0.16,Matches
119,Mitchell Clark,wls WAL,MF,Port Vale,25,1999,20,16,"1,438",16,1,1,2,1,0,0,4,1,0.06,0.06,0.13,0.06,0.13,Matches
120,James Clarke,eng ENG,DF,Newport County,34,1989,24,24,"2,061",22.9,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,Matches
121,Jayden Clarke,eng ENG,MF,Gillingham,23,2001,33,20,"1,894",21,7,1,8,7,0,0,6,0,0.33,0.05,0.38,0.33,0.38,Matches
122,Ollie Clarke,eng ENG,"MF,DF",Swindon Town,32,1992,30,26,"2,088",23.2,4,3,7,4,0,0,12,0,0.17,0.13,0.3,0.17,0.3,Matches
123,Reyes Cleary,eng ENG,"FW,MF",Walsall,20,2004,3,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Harry Clifton,wls WAL,MF,Doncaster Rovers,26,1998,41,27,"2,193",24.4,6,1,7,6,0,0,8,1,0.25,0.04,0.29,0.25,0.29,Matches
125,Ben Close,eng ENG,MF,Doncaster Rovers,27,1996,7,3,242,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Ryan Colclough,eng ENG,"MF,FW",Chesterfield,29,1994,36,13,"1,291",14.3,3,3,6,3,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches
127,Ethan Coleman,eng ENG,MF,Gillingham,24,2000,21,16,"1,435",15.9,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
128,Joel Colwill,wls WAL,MF,Cheltenham Town,19,2004,22,20,"1,649",18.3,6,3,9,6,0,0,2,0,0.33,0.16,0.49,0.33,0.49,Matches
129,Brandon Comley,ms MSR,MF,Walsall,28,1995,18,5,602,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
130,Cameron Congreve,wls WAL,MF,Bromley,20,2004,40,32,"2,409",26.8,5,6,11,5,0,0,0,0,0.19,0.22,0.41,0.19,0.41,Matches
131,Séamus Conneely,ie IRL,MF,Accrington Stanley,36,1988,26,20,"1,629",18.1,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
132,James Connolly,wls WAL,DF,Crewe Alexandra,22,2001,21,14,"1,204",13.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
133,Max Conway,eng ENG,"MF,DF",Crewe Alexandra,20,2003,46,44,"3,735",41.5,2,1,3,2,0,0,5,0,0.05,0.02,0.07,0.05,0.07,Matches
134,Andy Cook,eng ENG,FW,Bradford City,33,1990,22,22,"1,848",20.5,12,0,12,12,0,0,5,0,0.58,0,0.58,0.58,0.58,Matches
135,Connor Cook,,MF,Chesterfield,,,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Callum Cooke,eng ENG,MF,Morecambe,27,1997,18,11,947,10.5,1,0,1,0,1,1,1,0,0.1,0,0.1,0,0,Matches
137,Ryan Cooney,eng ENG,"MF,DF",Crewe Alexandra,24,2000,38,31,"2,711",30.1,3,5,8,1,2,3,11,1,0.1,0.17,0.27,0.03,0.2,Matches
138,Dean Cornelius,sct SCO,MF,Harrogate Town FC,23,2001,35,30,"2,578",28.6,1,0,1,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches
139,Dominic Corness,eng ENG,MF,Gillingham,21,2003,6,4,288,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
140,Dara Costelloe,ie IRL,"FW,MF",Accrington Stanley,21,2002,17,14,"1,211",13.5,5,1,6,4,1,1,3,0,0.37,0.07,0.45,0.3,0.37,Matches
141,Joel Cotterill,wls WAL,MF,Swindon Town,19,2004,41,30,"2,629",29.2,3,2,5,3,0,0,4,0,0.1,0.07,0.17,0.1,0.17,Matches
142,Ronan Coughlan,ie IRL,FW,Fleetwood Town,28,1995,23,21,"1,598",17.8,8,2,10,6,2,2,2,0,0.45,0.11,0.56,0.34,0.45,Matches
143,Brandon Cover,jm JAM,"MF,DF",Port Vale,20,2003,19,17,"1,432",15.9,2,0,2,2,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
144,Brandon Cover,jm JAM,MF,Fleetwood Town,20,2003,8,4,318,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
145,George Cox,eng ENG,"MF,DF",Swindon Town,26,1998,26,21,"1,645",18.3,2,4,6,1,1,1,5,0,0.11,0.22,0.33,0.05,0.27,Matches
146,Liam Coyle,eng ENG,MF,Accrington Stanley,24,1999,34,26,"2,363",26.3,0,1,1,0,0,0,10,0,0,0.04,0.04,0,0.04,Matches
147,William Crellin,eng ENG,GK,Accrington Stanley,24,2000,34,34,"3,060",34,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
148,Charlie Crew,wls WAL,MF,Doncaster Rovers,18,2006,13,11,811,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
149,Romoney Crichlow-Noble,eng ENG,DF,Bradford City,25,1999,10,8,614,6.8,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
150,Ryan Croasdale,eng ENG,MF,Port Vale,29,1994,45,39,"3,539",39.3,4,5,9,4,0,0,9,0,0.1,0.13,0.23,0.1,0.23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Daniel Crowley,eng ENG,MF,Notts County,26,1997,18,18,"1,531",17,4,6,10,4,0,0,2,0,0.24,0.35,0.59,0.24,0.59,Matches
152,Daniel Crowley,eng ENG,MF,Milton Keynes Dons,26,1997,18,18,"1,577",17.5,0,3,3,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
153,Robbie Cundy,eng ENG,"MF,DF",Notts County,27,1997,7,2,157,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
154,Jai Curran Nicholls,eng ENG,DF,Salford City FC,20,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Tom Cursons,eng ENG,FW,Harrogate Town FC,22,2001,16,6,642,7.1,2,1,3,2,0,0,2,0,0.28,0.14,0.42,0.28,0.42,Matches
