Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
421,Brian Oliván,es ESP,DF,Espanyol,30,1994,17,12,"1,017",11.3,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
422,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21,21,"1,890",21,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
423,Dani Olmo,es ESP,MF,Barcelona,26,1998,25,13,"1,212",13.5,10,3,13,8,2,2,1,0,0.74,0.22,0.97,0.59,0.82,Matches
424,Aimar Oroz,es ESP,MF,Osasuna,22,2001,37,35,"2,966",33,5,4,9,4,1,1,8,0,0.15,0.12,0.27,0.12,0.24,Matches
425,Ángel Ortíz,es ESP,DF,Real Betis,20,2004,5,4,353,3.9,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Gabriel Osei Misehouy,nl NED,FW,Girona,19,2005,9,1,257,2.9,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
427,David Otorbi,es ESP,FW,Valencia,16,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
428,Jesús Owono,gq EQG,GK,Alavés,23,2001,6,5,487,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
429,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,35,28,"2,250",25,9,3,12,5,4,4,4,1,0.36,0.12,0.48,0.2,0.32,Matches
430,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,11,8,757,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
431,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,14,9,854,9.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
432,Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,35,25,"2,162",24,4,4,8,4,0,0,5,0,0.17,0.17,0.33,0.17,0.33,Matches
434,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,23,21,"1,812",20.1,3,0,3,3,0,0,4,1,0.15,0,0.15,0.15,0.15,Matches
435,Daniel Parejo,es ESP,MF,Villarreal,35,1989,36,26,"2,273",25.3,3,3,6,2,1,2,8,0,0.12,0.12,0.24,0.08,0.2,Matches
436,Iago Parente,es ESP,DF,Valladolid,18,2006,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,8,4,408,4.5,1,0,1,1,0,0,1,0,0.22,0,0.22,0.22,0.22,Matches
438,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,12,4,460,5.1,0,2,2,0,0,0,0,0,0,0.39,0.39,0,0.39,Matches
439,Pedri,es ESP,MF,Barcelona,21,2002,37,35,"2,879",32,4,5,9,4,0,0,3,0,0.13,0.16,0.28,0.13,0.28,Matches
440,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,31,27,"2,298",25.5,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
441,Pejiño,es ESP,MF,Las Palmas,28,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
442,Andy Pelmard,mg MAD,DF,Las Palmas,24,2000,4,2,205,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
443,Iñaki Peña,es ESP,GK,Barcelona,25,1999,16,15,"1,396",15.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
444,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,25,7,775,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
445,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,28,15,"1,500",16.7,3,6,9,3,0,0,3,0,0.18,0.36,0.54,0.18,0.54,Matches
446,Peque,es ESP,"MF,FW",Sevilla,21,2002,26,14,"1,134",12.6,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
447,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,30,22,"1,970",21.9,19,2,21,19,0,0,4,0,0.87,0.09,0.96,0.87,0.96,Matches
448,Carles Pérez,es ESP,MF,Getafe,26,1998,27,15,"1,431",15.9,3,0,3,3,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
449,Francisco Perez,es ESP,MF,Valencia,21,2002,26,4,570,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
450,Kike Pérez,es ESP,MF,Valladolid,27,1997,19,14,"1,191",13.2,2,0,2,2,0,0,6,0,0.15,0,0.15,0.15,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Luis Pérez,es ESP,DF,Valladolid,29,1995,30,28,"2,558",28.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
452,Romain Perraud,fr FRA,DF,Real Betis,26,1997,28,22,"2,002",22.2,2,2,4,2,0,0,8,1,0.09,0.09,0.18,0.09,0.18,Matches
453,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Pica,es ESP,DF,Alavés,22,2002,9,5,499,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
455,Yeremi Pino,es ESP,MF,Villarreal,21,2002,34,25,"1,934",21.5,4,7,11,4,0,0,11,0,0.19,0.33,0.51,0.19,0.51,Matches
456,Portu,es ESP,"FW,MF",Girona,32,1992,27,6,779,8.7,1,2,3,1,0,0,4,0,0.12,0.23,0.35,0.12,0.35,Matches
457,Beñat Prados,es ESP,MF,Athletic Club,23,2001,30,21,"1,715",19.1,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
458,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,24,3,456,5.1,2,0,2,1,1,1,4,0,0.39,0,0.39,0.2,0.2,Matches
459,Javi Puado,es ESP,"MF,FW",Espanyol,26,1998,35,35,"2,974",33,12,4,16,7,5,5,8,0,0.36,0.12,0.48,0.21,0.33,Matches
460,Dani Raba,es ESP,"MF,FW",Leganés,28,1995,29,24,"1,879",20.9,8,6,14,4,4,5,6,0,0.38,0.29,0.67,0.19,0.48,Matches
461,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
462,Antonio Raillo,es ESP,DF,Mallorca,32,1991,36,36,"3,207",35.6,2,0,2,2,0,0,7,1,0.06,0,0.06,0.06,0.06,Matches
463,Benito Ramírez,es ESP,"MF,DF",Las Palmas,29,1995,19,2,478,5.3,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
464,Sandro Ramírez,es ESP,"MF,FW",Las Palmas,29,1995,31,25,"2,034",22.6,9,3,12,8,1,1,6,0,0.4,0.13,0.53,0.35,0.49,Matches
465,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,3,2,204,2.3,1,0,1,1,0,0,1,0,0.44,0,0.44,0.44,0.44,Matches
466,Raphinha,br BRA,"MF,FW",Barcelona,27,1996,36,32,"2,839",31.5,18,9,27,16,2,2,4,0,0.57,0.29,0.86,0.51,0.79,Matches
467,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,26,1998,35,34,"3,065",34.1,2,3,5,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,Matches
468,Raúl,es ESP,FW,Osasuna,23,2000,32,5,750,8.3,4,0,4,4,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
469,Abde Rebbach,dz ALG,"MF,FW",Alavés,25,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
470,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,36,"3,240",36,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Daniel Requena,es ESP,MF,Villarreal,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
472,Diego Rico,es ESP,DF,Getafe,31,1993,33,32,"2,819",31.3,0,3,3,0,0,0,9,1,0,0.1,0.1,0,0.1,Matches
473,Luis Rioja,es ESP,MF,Alavés,30,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
474,Luis Rioja,es ESP,MF,Valencia,30,1993,36,33,"2,831",31.5,5,3,8,3,2,2,6,0,0.16,0.1,0.25,0.1,0.19,Matches
475,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,16,4,516,5.7,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,Alberto Risco,es ESP,MF,Getafe,18,2005,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
477,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,28,1995,10,6,429,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
478,Gorka Rivera Alonso,es ESP,DF,Getafe,19,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
479,Marc Roca,es ESP,MF,Real Betis,27,1996,14,11,906,10.1,2,2,4,2,0,0,4,0,0.2,0.2,0.4,0.2,0.4,Matches
480,Rodri,es ESP,MF,Real Betis,24,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
481,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
482,Álvaro Rodríguez,uy URU,FW,Getafe,20,2004,22,7,852,9.5,2,0,2,2,0,0,6,0,0.21,0,0.21,0.21,0.21,Matches
483,Óscar Rodríguez Arnaiz,es ESP,MF,Leganés,26,1998,29,12,"1,330",14.8,1,4,5,1,0,0,6,1,0.07,0.27,0.34,0.07,0.34,Matches
484,Arturo Rodríguez,es ESP,FW,Las Palmas,17,2006,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
485,Damián Rodríguez,es ESP,MF,Celta Vigo,21,2003,17,10,927,10.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
486,Dani Rodríguez,es ESP,"MF,FW",Mallorca,36,1988,37,26,"2,162",24,4,7,11,4,0,0,5,0,0.17,0.29,0.46,0.17,0.46,Matches
487,Daniel Rodriguez,es ESP,MF,Barcelona,18,2005,1,1,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
488,James Rodríguez,co COL,MF,Rayo Vallecano,33,1991,6,1,140,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
489,Javi Rodríguez,es ESP,DF,Celta Vigo,21,2003,36,26,"2,514",27.9,3,2,5,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,Matches
490,Jesus Rodríguez,es ESP,MF,Real Betis,18,2005,21,15,"1,111",12.3,2,0,2,2,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
491,Kirian Rodríguez,es ESP,MF,Las Palmas,28,1996,21,21,"1,758",19.5,0,3,3,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
492,Ricardo Rodríguez,ch SUI,DF,Real Betis,31,1992,18,15,"1,274",14.2,0,1,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
493,Rodrygo,br BRA,"MF,FW",Real Madrid,23,2001,30,22,"1,928",21.4,6,5,11,6,0,0,0,0,0.28,0.23,0.51,0.28,0.51,Matches
