,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ryan Barnett,eng ENG,"DF,MF",Wrexham,24,1999,40,31,"2,867",31.9,2,9,11,2,0,0,1,0,0.06,0.28,0.35,0.06,0.35,Matches
52,Connor Barrett,eng ENG,DF,Barnsley,22,2002,5,1,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Louie Barry,eng ENG,"MF,FW",Stockport,21,2003,23,22,"1,787",19.9,15,3,18,11,4,4,2,0,0.76,0.15,0.91,0.55,0.71,Matches
54,Jaiden Bartolo,gi GIB,FW,Wycombe Wanderers,18,2006,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Daniel Barton,eng ENG,"MF,FW",Cambridge United,19,2005,16,6,614,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Lewis Bate,eng ENG,MF,Stockport,21,2002,32,28,"2,371",26.3,2,4,6,2,0,0,5,0,0.08,0.15,0.23,0.08,0.23,Matches
57,Ellis Bates,,DF,Stevenage,,,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Nathan Baxter,eng ENG,GK,Bolton Wanderers,25,1998,26,26,"2,340",26,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
59,Tom Bayliss,eng ENG,MF,Lincoln City,25,1999,34,22,"2,013",22.4,3,4,7,3,0,0,4,0,0.13,0.18,0.31,0.13,0.31,Matches
60,Omar Beckles,gd GRN,DF,Leyton Orient,32,1991,32,29,"2,653",29.5,3,0,3,3,0,0,6,0,0.1,0,0.1,0.1,0.1,Matches
61,Jake Beesley,eng ENG,"FW,MF",Blackpool,27,1996,22,3,484,5.4,1,1,2,1,0,0,3,1,0.19,0.19,0.37,0.19,0.37,Matches
62,Liam Bennett,eng ENG,"MF,DF",Cambridge United,22,2001,41,34,"2,997",33.3,1,3,4,1,0,0,6,0,0.03,0.09,0.12,0.03,0.12,Matches
63,Mason Bennett,eng ENG,"MF,FW",Burton Albion,28,1996,34,15,"1,423",15.8,2,0,2,1,1,1,7,0,0.13,0,0.13,0.06,0.06,Matches
64,Malvind Benning,eng ENG,"DF,MF",Shrewsbury Town,30,1993,44,39,"3,622",40.2,3,5,8,2,1,1,10,0,0.07,0.12,0.2,0.05,0.17,Matches
65,Josh Benson,eng ENG,MF,Barnsley,24,1999,14,2,407,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches
66,James Berry,eng ENG,MF,Wycombe Wanderers,23,2000,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
