,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
131,Nathaniel Chalobah,eng ENG,MF,Sheffield Weds,29,1994,4.9,0,6,1,16.7,1.22,0.2,0,0,0,0,Matches,,,,,,,,
132,Calum Chambers,eng ENG,"DF,MF",Cardiff City,29,1995,39,2,30,9,30,0.77,0.23,0.07,0.22,0,0,Matches,,,,,,,,
133,Samuel Chambers,eng ENG,MF,Leeds United,16,2007,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
134,Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
135,Shea Charles,nir NIR,MF,Sheffield Weds,20,2003,40.3,1,29,6,20.7,0.72,0.15,0.03,0.17,0,0,Matches,,,,,,,,
136,Tawanda Chirewa,zw ZIM,MF,Derby County,20,2003,1.7,0,2,2,100,1.19,1.19,0,0,0,0,Matches,,,,,,,,
137,Tahith Chong,cw CUW,"MF,FW",Luton Town,24,1999,22.5,2,28,8,28.6,1.24,0.36,0.07,0.25,0,0,Matches,,,,,,,,
138,Hamza Choudhury,bd BAN,"MF,DF",Sheffield United,26,1997,12.3,0,5,1,20,0.41,0.08,0,0,0,0,Matches,,,,,,,,
139,Benjamin Chrisene,eng ENG,DF,Norwich City,20,2004,12.8,1,3,1,33.3,0.23,0.08,0.33,1,0,0,Matches,,,,,,,,
140,Cyrus Christie,ie IRL,DF,Swansea City,31,1992,3.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
141,Dennis Cirkin,eng ENG,DF,Sunderland,22,2002,30.4,3,39,7,17.9,1.28,0.23,0.08,0.43,0,0,Matches,,,,,,,,
142,Ibrahim Cissoko,nl NED,MF,Plymouth Argyle,21,2003,7.3,3,19,8,42.1,2.59,1.09,0.16,0.38,0,0,Matches,,,,,,,,
143,Ibrahim Cissoko,nl NED,MF,Sheffield Weds,21,2003,0.6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
144,Jordan Clark,eng ENG,MF,Luton Town,30,1993,35.9,6,40,18,45,1.11,0.5,0.15,0.33,0,0,Matches,,,,,,,,
145,Harry Clarke,eng ENG,DF,Sheffield United,23,2001,5.2,0,2,1,50,0.38,0.19,0,0,0,0,Matches,,,,,,,,
146,Jack Clarke,eng ENG,MF,Sunderland,23,2000,2,1,2,1,50,1.01,0.5,0.5,1,0,0,Matches,,,,,,,,
147,Matthew Clarke,eng ENG,DF,Derby County,27,1996,15.2,1,11,2,18.2,0.72,0.13,0.09,0.5,0,0,Matches,,,,,,,,
148,Matthew Clarke,eng ENG,DF,Middlesbrough,27,1996,12.4,2,7,3,42.9,0.57,0.24,0.29,0.67,0,0,Matches,,,,,,,,
149,Jake Clarke-Salter,eng ENG,DF,Queens Park Rangers,26,1997,8.4,0,3,1,33.3,0.36,0.12,0,0,0,0,Matches,,,,,,,,
