,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
358,Daniel Jebbison,ca CAN,FW,Watford,20,2003,4.3,0,9,3,33.3,2.09,0.7,0,0,0,0,Matches,,,,,,,,
359,Lukas Jensen,dk DEN,GK,Millwall,25,1999,41,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
360,Eom Jisung,kr KOR,MF,Swansea City,22,2002,25.4,3,57,13,22.8,2.24,0.51,0.05,0.23,0,0,Matches,,,,,,,,
361,Viktor Johansson,se SWE,GK,Stoke City,25,1998,46,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
362,Daniel Johnson,jm JAM,MF,Stoke City,31,1992,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
363,Joseph Johnson,eng ENG,"DF,MF",Luton Town,18,2006,5.2,0,1,0,0,0.19,0,0,,0,0,Matches,,,,,,,,
364,Marvin Johnson,eng ENG,"MF,DF",Sheffield Weds,33,1990,31.1,0,28,5,17.9,0.9,0.16,0,0,0,0,Matches,,,,,,,,
365,Michael Johnston,ie IRL,MF,West Bromwich Albion,25,1999,23,3,62,17,27.4,2.7,0.74,0.05,0.18,0,0,Matches,,,,,,,,
366,Alfie Jones,ca CAN,DF,Hull City,26,1997,37.7,0,8,3,37.5,0.21,0.08,0,0,0,0,Matches,,,,,,,,
367,Harrison Jones,eng ENG,MF,Sunderland,19,2004,1.5,0,1,0,0,0.68,0,0,,0,0,Matches,,,,,,,,
368,Isaiah Jones,gy GUY,MF,Middlesbrough,25,1999,8.8,0,15,5,33.3,1.7,0.57,0,0,0,0,Matches,,,,,,,,
369,Isaiah Jones,gy GUY,MF,Luton Town,25,1999,14.6,2,11,5,45.5,0.76,0.34,0.18,0.4,0,0,Matches,,,,,,,,
370,Kyle Joseph,sct SCO,"FW,MF",Hull City,22,2001,11.2,0,14,6,42.9,1.25,0.54,0,0,0,0,Matches,,,,,,,,
371,Mateo Joseph,es ESP,FW,Leeds United,20,2003,14.3,3,39,16,41,2.73,1.12,0.08,0.19,0,0,Matches,,,,,,,,
372,Mads Juel Andersen,dk DEN,DF,Luton Town,26,1997,4.6,0,3,0,0,0.66,0,0,,0,0,Matches,,,,,,,,
373,Bae Junho,kr KOR,MF,Stoke City,20,2003,36.2,3,40,14,35,1.1,0.39,0.08,0.21,0,0,Matches,,,,,,,,
374,Matěj Jurásek,cz CZE,FW,Norwich City,20,2003,0.9,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
375,Abdoulaye Kamara,gn GUI,MF,Portsmouth,19,2004,1.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
376,Abu Kamara,eng ENG,"FW,MF",Norwich City,21,2003,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
377,Abu Kamara,eng ENG,"MF,FW",Hull City,21,2003,25.1,5,36,14,38.9,1.44,0.56,0.14,0.36,0,0,Matches,,,,,,,,
378,Thomas Kaminski,be BEL,GK,Luton Town,31,1992,44.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
379,Wilfried Kanga,ci CIV,FW,Cardiff City,26,1998,5.1,0,11,2,18.2,2.16,0.39,0,0,0,0,Matches,,,,,,,,
380,Augustus Kargbo,sl SLE,MF,Blackburn Rovers,24,1999,2.1,0,4,0,0,1.94,0,0,,0,0,Matches,,,,,,,,
381,Nikola Katić,ba BIH,DF,Plymouth Argyle,27,1996,13.6,1,9,3,33.3,0.66,0.22,0.11,0.33,0,0,Matches,,,,,,,,
382,Edo Kayembe,cd COD,"MF,FW",Watford,26,1998,35.5,8,65,16,24.6,1.83,0.45,0.09,0.38,2,2,Matches,,,,,,,,
383,Will Keane,ie IRL,"FW,MF",Preston North End,31,1993,12.5,3,14,4,28.6,1.12,0.32,0.21,0.75,0,0,Matches,,,,,,,,
384,Kévin Keben Biakolo,cm CMR,DF,Watford,20,2004,2.8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
385,Daniel Kelly,sct SCO,MF,Millwall,18,2005,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
386,Kaine Kesler-Hayden,eng ENG,"MF,DF",Preston North End,21,2002,40.8,2,40,11,27.5,0.98,0.27,0.05,0.18,0,0,Matches,,,,,,,,
387,Josh Key,eng ENG,DF,Swansea City,24,1999,38.5,1,22,8,36.4,0.57,0.21,0.05,0.13,0,0,Matches,,,,,,,,
388,Ben Killip,eng ENG,GK,Portsmouth,28,1995,2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
389,Peter Kioso,cd COD,DF,Oxford United,25,1998,25.6,0,7,0,0,0.27,0,0,,0,0,Matches,,,,,,,,
390,Liam Kitching,eng ENG,DF,Coventry City,24,1999,25.4,0,14,4,28.6,0.55,0.16,0,0,0,0,Matches,,,,,,,,
391,Jason Knight,ie IRL,MF,Bristol City,23,2001,46,3,49,9,18.4,1.07,0.2,0.06,0.33,0,0,Matches,,,,,,,,
392,Olaf Kobacki,pl POL,"FW,MF",Sheffield Weds,23,2001,4.1,0,10,3,30,2.44,0.73,0,0,0,0,Matches,,,,,,,,
393,Luca Koleosho,it ITA,MF,Burnley,19,2004,18.6,2,29,11,37.9,1.56,0.59,0.07,0.18,0,0,Matches,,,,,,,,
394,Rayan Kolli,dz ALG,"FW,MF",Queens Park Rangers,19,2005,9.1,4,22,7,31.8,2.41,0.77,0.18,0.57,0,0,Matches,,,,,,,,
395,Lewis Koumas,wls WAL,MF,Stoke City,18,2005,27.1,3,45,15,33.3,1.66,0.55,0.07,0.2,0,0,Matches,,,,,,,,
396,Ronan Kpakio,wls WAL,DF,Cardiff City,17,2007,1.2,0,1,0,0,0.83,0,0,,0,0,Matches,,,,,,,,
397,Tom Krauß,de GER,MF,Luton Town,23,2001,17.8,2,17,2,11.8,0.96,0.11,0.12,1,0,0,Matches,,,,,,,,
398,Paddy Lane,nir NIR,MF,Portsmouth,23,2001,11.9,1,13,5,38.5,1.09,0.42,0.08,0.2,0,0,Matches,,,,,,,,
399,Callum Lang,eng ENG,MF,Portsmouth,25,1998,27.1,10,67,23,34.3,2.47,0.85,0.12,0.35,2,2,Matches,,,,,,,,
400,Sondre Langås,no NOR,DF,Derby County,23,2001,12.4,0,4,1,25,0.32,0.08,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
401,Macaulay Langstaff,eng ENG,FW,Millwall,27,1997,15.4,1,25,10,40,1.62,0.65,0.04,0.1,0,0,Matches,,,,,,,,
402,Will Lankshear,eng ENG,FW,West Bromwich Albion,19,2005,3.9,0,7,1,14.3,1.8,0.26,0,0,0,0,Matches,,,,,,,,
403,Yasser Larouci,dz ALG,"MF,DF",Watford,23,2001,23.7,0,22,3,13.6,0.93,0.13,0,0,0,0,Matches,,,,,,,,
404,Joël Latibeaudière,jm JAM,DF,Coventry City,24,2000,28.6,0,8,1,12.5,0.28,0.03,0,0,0,0,Matches,,,,,,,,
405,Emmanuel Latte Lath,ci CIV,FW,Middlesbrough,25,1999,19.6,11,55,25,45.5,2.8,1.27,0.16,0.36,2,2,Matches,,,,,,,,
406,Josh Laurent,eng ENG,MF,Stoke City,29,1995,3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
407,Josh Laurent,eng ENG,MF,Burnley,29,1995,27.2,2,27,8,29.6,0.99,0.29,0.07,0.25,0,0,Matches,,,,,,,,
408,Mohammed Lawal,ie IRL,DF,Stoke City,21,2003,2.3,0,1,0,0,0.44,0,0,,0,0,Matches,,,,,,,,
409,Dylan Lawlor,wls WAL,DF,Cardiff City,18,2006,0.6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
410,Enzo Le Fée,fr FRA,MF,Sunderland,24,2000,11.1,1,19,6,31.6,1.71,0.54,0.05,0.17,0,0,Matches,,,,,,,,
411,Tom Leahy,eng ENG,FW,Millwall,20,2004,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
412,Ryan Ledson,eng ENG,MF,Preston North End,26,1997,13.5,1,10,3,30,0.74,0.22,0.1,0.33,0,0,Matches,,,,,,,,
413,Greg Leigh,jm JAM,"DF,MF",Oxford United,29,1994,26,6,18,8,44.4,0.69,0.31,0.33,0.75,0,0,Matches,,,,,,,,
414,Harry Leonard,eng ENG,FW,Blackburn Rovers,20,2003,1.7,1,7,4,57.1,4.23,2.42,0.14,0.25,0,0,Matches,,,,,,,,
415,Ryan Leonard,eng ENG,DF,Millwall,32,1992,29.2,0,12,0,0,0.41,0,0,,0,0,Matches,,,,,,,,
416,Lincoln,br BRA,MF,Hull City,25,1998,4.7,0,3,1,33.3,0.64,0.21,0,0,0,0,Matches,,,,,,,,
417,Liam Lindsay,sct SCO,DF,Preston North End,28,1995,29,1,22,5,22.7,0.76,0.17,0.05,0.2,0,0,Matches,,,,,,,,
418,Alfie Lloyd,eng ENG,"MF,FW",Queens Park Rangers,21,2003,8.3,2,18,4,22.2,2.17,0.48,0.11,0.5,0,0,Matches,,,,,,,,
419,Ben Lloyd,wls WAL,FW,Swansea City,19,2005,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
420,George Long,eng ENG,GK,Norwich City,30,1993,8.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
421,Sam Long,eng ENG,DF,Oxford United,29,1995,18.4,1,9,3,33.3,0.49,0.16,0.11,0.33,0,0,Matches,,,,,,,,
422,Ryan Longman,eng ENG,"MF,FW",Hull City,23,2000,5.3,1,11,6,54.5,2.07,1.13,0.09,0.17,0,0,Matches,,,,,,,,
423,Imran Louza,ma MAR,MF,Watford,25,1999,29.7,2,37,15,40.5,1.24,0.5,0.05,0.13,0,0,Matches,,,,,,,,
424,Jamal Lowe,jm JAM,"FW,MF",Sheffield Weds,30,1994,10.7,3,21,5,23.8,1.97,0.47,0.14,0.6,0,0,Matches,,,,,,,,
425,Max Lowe,eng ENG,DF,Sheffield Weds,27,1997,29.8,0,2,1,50,0.07,0.03,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
426,Nathan Lowe,eng ENG,"FW,MF",Stoke City,18,2005,5.2,1,6,2,33.3,1.15,0.38,0.17,0.5,0,0,Matches,,,,,,,,
427,Lucas,br BRA,DF,Burnley,23,2001,31,0,19,3,15.8,0.61,0.1,0,0,0,0,Matches,,,,,,,,
428,Nicolas Madsen,dk DEN,MF,Queens Park Rangers,24,2000,19.5,3,21,7,33.3,1.08,0.36,0.1,0.29,1,1,Matches,,,,,,,,
429,Lucien Mahovo,eng ENG,DF,Norwich City,19,2005,5.8,0,4,2,50,0.69,0.34,0,0,0,0,Matches,,,,,,,,
430,Josh Maja,ng NGA,FW,West Bromwich Albion,25,1998,22.8,12,48,18,37.5,2.1,0.79,0.25,0.67,0,0,Matches,,,,,,,,
431,Christ Makosso,cg CGO,DF,Luton Town,20,2004,10.6,0,7,0,0,0.66,0,0,,0,0,Matches,,,,,,,,
432,Million Manhoef,nl NED,"MF,FW",Stoke City,22,2002,26.9,5,71,25,35.2,2.64,0.93,0.07,0.2,0,0,Matches,,,,,,,,
433,Sivert Mannsverk,no NOR,MF,Cardiff City,22,2002,11.2,0,9,1,11.1,0.81,0.09,0,0,0,0,Matches,,,,,,,,
434,Benson Manuel,ao ANG,"FW,MF",Burnley,27,1997,0.5,1,4,1,25,7.83,1.96,0.25,1,0,0,Matches,,,,,,,,
435,Emiliano Marcondes,dk DEN,"MF,FW",Norwich City,29,1995,25.3,5,39,15,38.5,1.54,0.59,0.13,0.33,0,0,Matches,,,,,,,,
436,Ephron Mason-Clark,eng ENG,"MF,FW",Coventry City,24,1999,18.1,5,38,17,44.7,2.1,0.94,0.13,0.29,0,0,Matches,,,,,,,,
437,Han-Noah Massengo,fr FRA,MF,Burnley,23,2001,1.1,0,1,0,0,0.93,0,0,,0,0,Matches,,,,,,,,
438,Zavier Massiah,eng ENG,FW,Watford,17,2007,0.6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
439,Eliot Matazo,be BEL,MF,Hull City,22,2002,3.3,1,4,2,50,1.2,0.6,0.25,0.5,0,0,Matches,,,,,,,,
440,Alex Matos,eng ENG,"MF,FW",Oxford United,19,2004,10.4,0,2,0,0,0.19,0,0,,0,0,Matches,,,,,,,,
441,Hayden Matthews,au AUS,DF,Portsmouth,20,2004,3.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
442,Eliezer Mayenda,es ESP,"FW,MF",Sunderland,19,2005,23.9,8,55,27,49.1,2.3,1.13,0.15,0.3,0,0,Matches,,,,,,,,
443,Fally Mayulu,fr FRA,FW,Bristol City,22,2002,4.5,2,17,6,35.3,3.81,1.34,0.12,0.33,0,0,Matches,,,,,,,,
444,Sam McCallum,eng ENG,"DF,MF",Sheffield United,23,2000,11.7,2,15,3,20,1.28,0.26,0.13,0.67,0,0,Matches,,,,,,,,
445,Alistair McCann,nir NIR,MF,Preston North End,24,1999,26.9,1,17,4,23.5,0.63,0.15,0.06,0.25,0,0,Matches,,,,,,,,
446,Ruairi Mcconville,nir NIR,DF,Norwich City,19,2005,2.3,0,2,0,0,0.88,0,0,,0,0,Matches,,,,,,,,
447,George McCormick,eng ENG,DF,Middlesbrough,19,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
448,Ross McCrorie,sct SCO,"MF,DF",Bristol City,26,1998,16.4,5,23,7,30.4,1.4,0.43,0.22,0.71,0,0,Matches,,,,,,,,
449,Josh McEachran,eng ENG,MF,Oxford United,31,1993,5.6,0,1,0,0,0.18,0,0,,0,0,Matches,,,,,,,,
450,Kyle McFadzean,sct SCO,DF,Blackburn Rovers,37,1987,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
451,Riley McGree,au AUS,MF,Middlesbrough,25,1998,10.5,1,25,10,40,2.39,0.95,0.04,0.1,0,0,Matches,,,,,,,,
452,Marcus McGuane,eng ENG,MF,Bristol City,25,1999,11.8,0,7,2,28.6,0.59,0.17,0,0,0,0,Matches,,,,,,,,
453,Mark McGuinness,ie IRL,DF,Luton Town,23,2001,41.7,3,49,9,18.4,1.18,0.22,0.06,0.33,0,0,Matches,,,,,,,,
454,Tom McIntyre,sct SCO,DF,Portsmouth,25,1998,11.3,0,4,1,25,0.35,0.09,0,0,0,0,Matches,,,,,,,,
455,Kenny McLean,sct SCO,"MF,DF",Norwich City,32,1992,33.3,0,11,1,9.1,0.33,0.03,0,0,0,0,Matches,,,,,,,,
456,Sean McLoughlin,ie IRL,DF,Hull City,27,1996,35.7,0,29,11,37.9,0.81,0.31,0,0,0,0,Matches,,,,,,,,
457,Paddy McNair,nir NIR,DF,West Bromwich Albion,29,1995,1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
458,Luke McNally,ie IRL,DF,Bristol City,24,1999,25.8,3,29,8,27.6,1.12,0.31,0.1,0.38,0,0,Matches,,,,,,,,
459,Luke McNally,ie IRL,DF,Burnley,24,1999,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
460,Dan McNamara,ie IRL,DF,Millwall,25,1998,7.6,0,1,1,100,0.13,0.13,0,0,0,0,Matches,,,,,,,,
461,Charlie McNeill,eng ENG,FW,Sheffield Weds,20,2003,0.6,0,1,0,0,1.58,0,0,,0,0,Matches,,,,,,,,
462,Jayden Meghoma,eng ENG,"MF,DF",Preston North End,18,2006,8.5,0,2,1,50,0.23,0.12,0,0,0,0,Matches,,,,,,,,
463,Marvin Mehlem,de GER,MF,Hull City,26,1997,10,0,12,1,8.3,1.2,0.1,0,0,0,0,Matches,,,,,,,,
464,Anis Mehmeti,al ALB,"MF,FW",Bristol City,23,2001,28.4,12,86,32,37.2,3.03,1.13,0.12,0.31,2,2,Matches,,,,,,,,
465,Yakou Méïte,ci CIV,"MF,FW",Cardiff City,28,1996,13.3,3,45,14,31.1,3.37,1.05,0.07,0.21,0,0,Matches,,,,,,,,
466,Hannibal Mejbri,tn TUN,MF,Burnley,21,2003,21.4,1,33,7,21.2,1.54,0.33,0.03,0.14,0,0,Matches,,,,,,,,
467,Nathaniel Mendez-Laing,gt GUA,"MF,FW",Derby County,32,1992,23.3,3,40,12,30,1.72,0.51,0.05,0.17,1,1,Matches,,,,,,,,
468,Teden Mengi,eng ENG,DF,Luton Town,22,2002,17.4,1,15,5,33.3,0.86,0.29,0.07,0.2,0,0,Matches,,,,,,,,
469,Chris Mepham,wls WAL,DF,Sunderland,26,1997,36.4,1,14,6,42.9,0.38,0.16,0.07,0.17,0,0,Matches,,,,,,,,
470,Illan Meslier,fr FRA,GK,Leeds United,24,2000,39,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
471,Liam Millar,ca CAN,"MF,FW",Hull City,24,1999,6.9,1,18,4,22.2,2.62,0.58,0.06,0.25,0,0,Matches,,,,,,,,
472,Stanley Mills,eng ENG,MF,Oxford United,20,2003,3.9,1,11,1,9.1,2.79,0.25,0.09,1,0,0,Matches,,,,,,,,
473,Yang Minhyeok,kr KOR,"MF,FW",Queens Park Rangers,18,2006,7.7,2,18,7,38.9,2.34,0.91,0.11,0.29,0,0,Matches,,,,,,,,
474,Billy Mitchell,eng ENG,MF,Millwall,24,2000,9.9,0,4,0,0,0.4,0,0,,0,0,Matches,,,,,,,,
475,Idris El Mizouni,tn TUN,MF,Oxford United,23,2000,13.8,1,18,6,33.3,1.3,0.43,0.06,0.17,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
476,Ryan Mmaee,ma MAR,FW,Stoke City,26,1997,1.2,0,1,0,0,0.81,0,0,,0,0,Matches,,,,,,,,
477,Jayson Molumby,ie IRL,MF,West Bromwich Albion,24,1999,30,4,31,13,41.9,1.03,0.43,0.13,0.31,0,0,Matches,,,,,,,,
478,Kristi Montgomery,sct SCO,DF,Blackburn Rovers,20,2004,1.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
479,Elliott Moore,eng ENG,DF,Oxford United,27,1997,22.9,1,10,4,40,0.44,0.18,0.1,0.25,0,0,Matches,,,,,,,,
480,Kieffer Moore,wls WAL,FW,Sheffield United,31,1992,19.6,5,57,19,33.3,2.9,0.97,0.07,0.21,1,3,Matches,,,,,,,,
481,Simon Moore,eng ENG,GK,Sunderland,34,1990,4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
482,Andrew Moran,ie IRL,MF,Stoke City,20,2003,26.2,4,28,8,28.6,1.07,0.31,0.14,0.5,0,0,Matches,,,,,,,,
483,Kieran Morgan,eng ENG,MF,Queens Park Rangers,18,2006,17.6,1,17,3,17.6,0.96,0.17,0.06,0.33,0,0,Matches,,,,,,,,
484,Aidan Morris,us USA,MF,Middlesbrough,22,2001,32.4,0,30,4,13.3,0.93,0.12,0,0,0,0,Matches,,,,,,,,
485,Carlton Morris,eng ENG,"FW,MF",Luton Town,28,1995,34.7,8,63,28,44.4,1.82,0.81,0.1,0.21,2,2,Matches,,,,,,,,
486,James Morris,eng ENG,DF,Watford,22,2001,12.1,0,2,0,0,0.17,0,0,,0,0,Matches,,,,,,,,
487,Elijah Morrison,eng ENG,MF,Bristol City,18,2006,0.4,0,1,0,0,2.31,0,0,,0,0,Matches,,,,,,,,
488,Liam Morrison,sct SCO,DF,Queens Park Rangers,21,2003,14.5,0,8,0,0,0.55,0,0,,0,0,Matches,,,,,,,,
489,Victor Moses,ng NGA,MF,Luton Town,33,1990,12.6,1,12,2,16.7,0.95,0.16,0.08,0.5,0,0,Matches,,,,,,,,
490,Alex Mowatt,eng ENG,MF,West Bromwich Albion,29,1995,37.2,7,30,10,33.3,0.81,0.27,0.23,0.7,0,0,Matches,,,,,,,,
491,Owen Moxon,eng ENG,MF,Portsmouth,26,1998,3.1,0,4,3,75,1.31,0.98,0,0,0,0,Matches,,,,,,,,
492,Bali Mumba,eng ENG,"MF,DF",Plymouth Argyle,22,2001,37.7,0,22,3,13.6,0.58,0.08,0,0,0,0,Matches,,,,,,,,
493,Romaine Mundle,eng ENG,"MF,FW",Sunderland,21,2003,15.9,5,35,12,34.3,2.2,0.75,0.14,0.42,0,0,Matches,,,,,,,,
494,Josh Murphy,eng ENG,MF,Portsmouth,29,1995,38.1,7,107,31,29,2.81,0.81,0.07,0.23,0,0,Matches,,,,,,,,
495,Anthony Musaba,nl NED,"MF,FW",Sheffield Weds,23,2000,14.8,3,32,10,31.3,2.17,0.68,0.09,0.3,0,0,Matches,,,,,,,,
496,Elliot Myles,wls WAL,FW,Norwich City,17,2007,0.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
497,Amin Nabizada,eng ENG,FW,Watford,17,2007,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
498,Kal Naismith,sct SCO,DF,Bristol City,32,1992,3.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
499,Kal Naismith,sct SCO,"DF,MF",Luton Town,32,1992,5.1,0,3,0,0,0.58,0,0,,0,0,Matches,,,,,,,,
500,Marvelous Nakamba,zw ZIM,MF,Luton Town,30,1994,14.4,0,2,0,0,0.14,0,0,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
501,Paul Nardi,fr FRA,GK,Queens Park Rangers,30,1994,45,0,2,2,100,0.04,0.04,0,0,0,0,Matches,,,,,,,,
502,Kyle Naughton,eng ENG,DF,Swansea City,35,1988,9.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
503,Camiel Neghli,nl NED,MF,Millwall,22,2001,2.1,1,7,6,85.7,3.26,2.8,0.14,0.17,0,0,Matches,,,,,,,,
504,Dan Neil,eng ENG,MF,Sunderland,22,2001,43.1,2,24,5,20.8,0.56,0.12,0.08,0.4,0,0,Matches,,,,,,,,
505,Benjamin Nelson,eng ENG,DF,Oxford United,20,2004,15.2,1,4,2,50,0.26,0.13,0.25,0.5,0,0,Matches,,,,,,,,
506,Curtis Nelson,eng ENG,DF,Derby County,31,1993,27,2,20,7,35,0.74,0.26,0.1,0.29,0,0,Matches,,,,,,,,
507,Zack Nelson,eng ENG,"MF,FW",Luton Town,19,2004,8.9,0,9,1,11.1,1.01,0.11,0,0,0,0,Matches,,,,,,,,
508,Perry Ng,eng ENG,DF,Cardiff City,28,1996,31,1,25,7,28,0.81,0.23,0.04,0.14,0,0,Matches,,,,,,,,
509,Jeremy Ngakia,,"DF,MF",Watford,23,2000,20.9,1,17,3,17.6,0.81,0.14,0.06,0.33,0,0,Matches,,,,,,,,
510,Kevin Nisbet,sct SCO,FW,Millwall,27,1997,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
511,Lasse Nordås,no NOR,FW,Luton Town,22,2002,2.8,0,8,0,0,2.82,0,0,,0,0,Matches,,,,,,,,
512,Casper de Norre,be BEL,MF,Millwall,27,1997,40.1,3,30,7,23.3,0.75,0.17,0.1,0.43,0,0,Matches,,,,,,,,
513,Rhys Norrington-Davies,wls WAL,DF,Sheffield United,25,1999,2.8,0,1,0,0,0.36,0,0,,0,0,Matches,,,,,,,,
514,Will Norris,eng ENG,GK,Portsmouth,30,1993,8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
515,Marcelino Núñez,cl CHI,MF,Norwich City,24,2000,24.9,6,56,17,30.4,2.24,0.68,0.11,0.35,0,0,Matches,,,,,,,,
516,Tanatswa Nyakuhwa,wls WAL,FW,Cardiff City,18,2005,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
517,Ryan Nyambe,na NAM,"DF,MF",Derby County,26,1997,12.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
518,Lewis O'Brien,eng ENG,MF,Swansea City,25,1998,15.8,1,23,7,30.4,1.46,0.44,0.04,0.14,0,0,Matches,,,,,,,,
519,Gatlin O'Donkor,eng ENG,FW,Oxford United,19,2004,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
520,Callum O'Dowda,ie IRL,"DF,MF",Cardiff City,29,1995,39.4,2,27,9,33.3,0.69,0.23,0.07,0.22,0,0,Matches,,,,,,,,
521,Callum O'Hare,eng ENG,MF,Sheffield United,26,1998,34.9,2,40,12,30,1.15,0.34,0.05,0.17,0,0,Matches,,,,,,,,
522,Max O'Leary,ie IRL,GK,Bristol City,27,1996,46,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
523,Mark O'Mahony,ie IRL,FW,Portsmouth,19,2005,6.6,3,10,4,40,1.51,0.61,0.3,0.75,0,0,Matches,,,,,,,,
524,Luke O'Nien,eng ENG,DF,Sunderland,29,1994,43.7,3,17,6,35.3,0.39,0.14,0.18,0.5,0,1,Matches,,,,,,,,
525,Dara O'Shea,ie IRL,DF,Burnley,25,1999,2,1,4,2,50,2,1,0.25,0.5,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
526,Michael Obafemi,ie IRL,"FW,MF",Plymouth Argyle,24,2000,13.3,2,15,5,33.3,1.13,0.38,0.13,0.4,0,0,Matches,,,,,,,,
527,Wilson Odobert,fr FRA,MF,Burnley,19,2004,1,1,3,1,33.3,3.03,1.01,0.33,1,0,0,Matches,,,,,,,,
528,Chiedozie Ogbene,ie IRL,MF,Luton Town,27,1997,2.7,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
529,Nathanael Ogbeta,eng ENG,"MF,DF",Plymouth Argyle,23,2001,7,1,4,1,25,0.58,0.14,0.25,1,0,0,Matches,,,,,,,,
530,Angelo Ogbonna,it ITA,DF,Watford,36,1988,4.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
531,Connor Ogilvie,eng ENG,DF,Portsmouth,28,1996,44.8,4,39,9,23.1,0.87,0.2,0.1,0.44,0,0,Matches,,,,,,,,
532,Yuki Ohashi,jp JPN,"FW,MF",Blackburn Rovers,28,1996,24.7,9,52,19,36.5,2.11,0.77,0.17,0.47,0,0,Matches,,,,,,,,
533,Jeppe Okkels,dk DEN,MF,Preston North End,25,1999,1.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
534,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25,1999,11.8,0,8,3,37.5,0.68,0.25,0,0,0,0,Matches,,,,,,,,
535,Ryan One,sct SCO,FW,Sheffield United,18,2006,3.2,1,8,2,25,2.47,0.62,0.13,0.5,0,0,Matches,,,,,,,,
536,Ben Osborn,eng ENG,"MF,DF",Derby County,29,1994,18.9,0,6,0,0,0.32,0,0,,0,0,Matches,,,,,,,,
537,Milutin Osmajić,me MNE,FW,Preston North End,25,1999,21.3,9,43,18,41.9,2.02,0.84,0.21,0.5,0,0,Matches,,,,,,,,
538,Gabriel Otegbayo,,DF,Sheffield Weds,,,5.3,1,3,2,66.7,0.56,0.37,0.33,0.5,0,0,Matches,,,,,,,,
539,David Ozoh,eng ENG,MF,Derby County,19,2005,7.8,1,6,2,33.3,0.77,0.26,0.17,0.5,0,0,Matches,,,,,,,,
