,,,,,,,,Standard,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
17,Sonny Aljofree,eng ENG,DF,Accrington Stanley,19,2004,23.6,3,7,5,71.4,0.3,0.21,0.43,0.6,0,0,Matches
18,Taylor Allen,eng ENG,DF,Walsall,24,2000,43.9,10,56,23,41.1,1.28,0.52,0.14,0.35,2,2,Matches
19,George Alston,,FW,Swindon Town,,,0.1,0,0,0,,0,0,,,0,0,Matches
20,Levi Amantchi,eng ENG,FW,Bromley,23,2000,4,0,7,1,14.3,1.75,0.25,0,0,0,0,Matches
21,Levi Amantchi,eng ENG,FW,Walsall,23,2000,6.7,3,18,10,55.6,2.7,1.5,0.17,0.3,0,0,Matches
22,Botan Ameen,iq IRQ,MF,Swindon Town,17,2007,5.4,1,8,6,75,1.48,1.11,0.13,0.17,0,0,Matches
23,Ben Amos,eng ENG,GK,Port Vale,34,1990,23,0,0,0,,0,0,,,0,0,Matches
24,Harry Anderson,eng ENG,MF,Colchester United,27,1997,19.2,3,27,10,37,1.41,0.52,0.11,0.3,0,0,Matches
25,Tom Anderson,eng ENG,DF,Doncaster Rovers,30,1993,24.1,1,12,3,25,0.5,0.12,0.08,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Josh Andrews,eng ENG,FW,Gillingham,22,2001,3.1,0,7,2,28.6,2.27,0.65,0,0,0,0,Matches
27,Lee Angol,eng ENG,FW,Morecambe,29,1994,17.7,7,32,11,34.4,1.81,0.62,0.19,0.55,1,1,Matches
28,Cameron Antwi,eng ENG,MF,Newport County,22,2001,30.2,1,20,6,30,0.66,0.2,0.05,0.17,0,0,Matches
29,Harvey Araujo,,DF,Chesterfield,,,13.2,0,3,1,33.3,0.23,0.08,0,0,0,0,Matches
30,Ethon Archer,eng ENG,MF,Cheltenham Town,21,2002,42,7,48,19,39.6,1.14,0.45,0.15,0.37,0,0,Matches
31,Luke Armstrong,eng ENG,FW,Carlisle United,28,1996,13.7,3,23,10,43.5,1.67,0.73,0.13,0.3,0,0,Matches
32,Jude Arthurs,eng ENG,MF,Bromley,22,2001,35,4,34,8,23.5,0.97,0.23,0.12,0.5,0,0,Matches
33,Zico Asare,eng ENG,"DF,MF",Harrogate Town FC,23,2001,16.2,1,5,2,40,0.31,0.12,0.2,0.5,0,0,Matches
34,Luca Ashby-Hammond,eng ENG,GK,Gillingham,23,2001,0.2,0,0,0,,0,0,,,0,0,Matches
35,Ossama Ashley,eng ENG,MF,Salford City FC,23,2000,27.9,1,20,6,30,0.72,0.21,0.05,0.17,0,0,Matches
36,Nathan Asiimwe,ug UGA,MF,Walsall,19,2004,6.8,0,5,1,20,0.73,0.15,0,0,0,0,Matches
37,Joshua Austerfield,eng ENG,"MF,DF",Salford City FC,22,2001,13.5,0,8,0,0,0.59,0,0,,0,0,Matches
38,Sam Austin,eng ENG,MF,Notts County,27,1996,18.2,1,20,10,50,1.1,0.55,0.05,0.1,0,0,Matches
39,Sebastian Auton,,GK,Grimsby Town,,,0.8,0,0,0,,0,0,,,0,0,Matches
40,Zach Awe,eng ENG,DF,Accrington Stanley,20,2004,21,1,7,2,28.6,0.33,0.1,0.14,0.5,0,0,Matches
41,Tommy Backwell,eng ENG,"MF,FW",Cheltenham Town,21,2003,8.1,1,7,2,28.6,0.87,0.25,0.14,0.5,0,0,Matches
