Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
134,James Clarke,ie IRL,"DF,MF",Solihull Moors,24,2000,38.1,7,2,0,,,,,,,,,0,Matches
135,Regan Clayton,eng ENG,DF,Dagenham & Redbridge,19,2004,6.9,2,0,0,,,,,,,,,0,Matches
136,Reyes Cleary,eng ENG,"MF,FW",Hartlepool United,20,2004,17.1,3,0,0,,,,,,,,,0,Matches
137,Remy Clerima,fr FRA,DF,Maidenhead United,33,1990,10.7,0,0,0,,,,,,,,,0,Matches
138,Billy Clifford,eng ENG,"MF,FW",Barnet,31,1992,7.1,3,0,0,,,,,,,,,0,Matches
139,Ben Close,eng ENG,MF,Eastleigh,27,1996,14.4,1,0,0,,,,,,,,,0,Matches
140,Sam Clucas,eng ENG,MF,Oldham Athletic,33,1990,6.4,4,0,0,,,,,,,,,0,Matches
141,Kieran Coates,eng ENG,DF,Boston United,22,2001,4.3,1,0,0,,,,,,,,,0,Matches
142,Owen Cochrane,,"DF,MF",Maidenhead United,,,22.5,0,0,0,,,,,,,,,0,Matches
143,Callum Cockerill-Mollett,eng ENG,DF,Tamworth,25,1999,18.3,0,0,0,,,,,,,,,0,Matches
144,Ben Coker,eng ENG,"DF,MF",Barnet,35,1989,19.1,5,0,0,,,,,,,,,0,Matches
145,Oliver Coker,,"MF,FW",Southend United,,,21.2,3,0,0,,,,,,,,,0,Matches
146,Josh Coley,eng ENG,MF,Sutton United,26,1998,23,6,0,0,,,,,,,,,0,Matches
147,Charlie Colkett,eng ENG,"MF,FW",Gateshead,27,1996,6.4,0,0,0,,,,,,,,,0,Matches
148,Danny Collinge,eng ENG,DF,Barnet,26,1998,25.5,3,1,0,,,,,,,,,0,Matches
149,Tom Conlon,eng ENG,MF,Oldham Athletic,28,1996,26.2,6,0,0,,,,,,,,,0,Matches
150,Raheem Conte,eng ENG,"MF,DF",Woking,21,2002,6.2,0,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Jack Cook,eng ENG,DF,Wealdstone FC,30,1993,34.7,12,0,0,,,,,,,,,0,Matches
152,Jamie Cooke,eng ENG,"MF,FW",FC Halifax Town,22,2002,34.3,9,1,1,,,,,,,,,0,Matches
153,Charlie Cooper,eng ENG,MF,Yeovil Town,27,1997,36,10,0,0,,,,,,,,,0,Matches
154,Chay Cooper,eng ENG,MF,Braintree Town,22,2001,25.6,6,1,1,,,,,,,,,0,Matches
