"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
13;"Pedro";"Lazio";30;1057;10;8;1;6.39;4.87;1.44;10.31;4.81;0.54;0.41;0.12;0.67;0.54;0.88;0.41
14;"Andrea Pinamonti";"Genoa";36;2886;10;10;1;7.93;7.17;1.84;12.4;4.71;0.25;0.22;0.06;0.3;0.28;0.39;0.15
15;"Dusan Vlahovic";"Juventus";29;1793;10;6;4;15.1;12.05;1.74;16.02;3.58;0.76;0.6;0.09;0.85;0.69;0.8;0.18
16;"Roberto Piccoli";"Cagliari";37;3180;10;9;1;17.92;17.15;1.15;18.12;2.08;0.51;0.49;0.03;0.54;0.52;0.51;0.06
17;"Valentín Castellanos";"Lazio";29;2407;10;8;3;16.13;13.85;3.63;19.23;5.09;0.6;0.52;0.14;0.74;0.65;0.72;0.19
18;"Tijjani Reijnders";"AC Milan";37;3136;10;10;4;8.07;8.07;4.99;25.9;16.79;0.23;0.23;0.14;0.37;0.37;0.74;0.48
19;"Boulaye Dia";"Lazio";35;2220;9;9;3;6.9;6.9;4.61;14.7;6.05;0.28;0.28;0.19;0.47;0.47;0.6;0.25
20;"Che Adams";"Torino";36;2650;9;9;3;9.51;8.75;2.18;12.42;3.58;0.32;0.3;0.07;0.4;0.37;0.42;0.12
21;"Florian Thauvin";"Udinese";25;2010;8;7;3;9.34;7.05;4.88;12.18;4.75;0.42;0.32;0.22;0.64;0.53;0.55;0.21
22;"Mattia Zaccagni";"Lazio";34;2750;8;6;6;6.88;5.35;5.22;16.11;9;0.23;0.18;0.17;0.4;0.35;0.53;0.29
23;"Randal Kolo Muani";"Juventus";16;1175;8;7;1;4.81;4.05;1.42;6.1;1.36;0.37;0.31;0.11;0.48;0.42;0.47;0.1
24;"Rafael Leão";"AC Milan";34;2329;8;8;8;8.67;8.67;7.55;19.98;9.71;0.34;0.34;0.29;0.63;0.63;0.77;0.38
25;"Sebastiano Esposito";"Empoli";33;2370;8;7;0;6.24;4.72;2.36;9.8;4.87;0.24;0.18;0.09;0.33;0.27;0.37;0.18
26;"Dan Ndoye";"Bologna";30;2166;8;6;4;8.56;7.03;4.08;13.29;3.76;0.36;0.29;0.17;0.53;0.46;0.55;0.16
27;"Assane Diao";"Como";15;1268;8;8;1;3.52;3.52;0.78;7.25;3.66;0.25;0.25;0.06;0.31;0.31;0.51;0.26
28;"Santiago Castro";"Bologna";36;2313;8;8;4;8.54;7.77;3.13;12.77;4.18;0.33;0.3;0.12;0.45;0.42;0.5;0.16
29;"Patrick Cutrone";"Como";33;2058;7;7;4;8.81;8.04;2.89;10.93;2.34;0.39;0.35;0.13;0.51;0.48;0.48;0.1
30;"Alexis Saelemaekers";"AC Milan,Roma";23;1510;7;7;3;3.07;3.07;3;12.42;8.64;0.18;0.18;0.18;0.36;0.36;0.74;0.51
31;"Denzel Dumfries";"Inter";29;1929;7;7;2;6.13;6.13;3.69;13.07;5.05;0.29;0.29;0.17;0.46;0.46;0.61;0.24
32;"Charles De Ketelaere";"Atalanta";36;2092;7;7;7;9.46;9.46;6.69;21.81;11.47;0.41;0.41;0.29;0.69;0.69;0.94;0.49
33;"Kenan Yildiz";"Juventus";35;2414;7;7;4;4.91;4.91;5.66;13.8;5.86;0.18;0.18;0.21;0.39;0.39;0.51;0.22
34;"Paulo Dybala";"Roma";24;1431;6;3;3;7.1;4.81;6.23;12.77;7.27;0.45;0.3;0.39;0.84;0.69;0.8;0.46
35;"Joel Pohjanpalo";"Venezia";20;1635;6;3;0;7.44;4.4;1.74;6.82;1.48;0.41;0.24;0.1;0.51;0.34;0.38;0.08
36;"Franck Zambo";"Napoli";35;2862;6;6;4;5.06;5.06;2.63;14.76;9.68;0.16;0.16;0.08;0.24;0.24;0.46;0.3
37;"Jens Odgaard";"Bologna";29;1987;6;6;1;5.31;5.31;2.58;10.97;3.65;0.24;0.24;0.12;0.36;0.36;0.5;0.17
38;"Giacomo Raspadori";"Napoli";26;1110;6;6;1;5.08;5.08;2.19;8.42;2.63;0.41;0.41;0.18;0.59;0.59;0.68;0.21
39;"Gabriel Strefezza";"Como";37;2648;6;6;4;3.99;3.99;4.32;10.79;4.15;0.14;0.14;0.15;0.28;0.28;0.37;0.14
40;"Daniel Maldini";"Atalanta,Monza";30;1574;6;6;0;6.71;6.71;1.7;9.63;2.19;0.38;0.38;0.1;0.48;0.48;0.55;0.13
41;"Lorenzo Colombo";"Empoli";37;2254;6;5;2;6.49;5.73;2.66;12.39;4.72;0.26;0.23;0.11;0.37;0.34;0.49;0.19
42;"Nadir Zortea";"Cagliari";35;2749;6;6;2;2.93;2.93;3.84;11.55;5.95;0.1;0.1;0.13;0.22;0.22;0.38;0.19
43;"Albert Gudmundsson";"Fiorentina";24;1284;6;4;1;4.85;3.32;1.83;7.44;3.08;0.34;0.23;0.13;0.47;0.36;0.52;0.22
44;"Nico Paz";"Como";35;2704;6;6;8;9.96;9.2;5.48;16.97;5.57;0.33;0.31;0.18;0.51;0.49;0.56;0.19
45;"Ange-Yoan Bonny";"Parma Calcio 1913";37;2580;6;4;4;8.87;6.59;4.27;11.49;2.43;0.31;0.23;0.15;0.46;0.38;0.4;0.08
46;"Casper Tengstedt";"Verona";25;1552;6;5;1;5.57;4.81;1.26;7.14;1.77;0.32;0.28;0.07;0.4;0.35;0.41;0.1
47;"Hakan Calhanoglu";"Inter";29;1999;5;2;6;4.41;1.37;7.05;13.45;11.18;0.2;0.06;0.32;0.52;0.38;0.61;0.5
48;"Álvaro Morata";"AC Milan";16;1110;5;5;0;4.82;4.82;0.96;7.89;3.08;0.39;0.39;0.08;0.47;0.47;0.64;0.25
49;"Milan Djuric";"Monza,Parma Calcio 1913";27;1522;5;5;1;4.08;4.08;0.84;4.49;0.31;0.24;0.24;0.05;0.29;0.29;0.27;0.02
50;"Davide Frattesi";"Inter";28;1194;5;5;1;5.32;5.32;1.1;8.43;2.83;0.4;0.4;0.08;0.48;0.48;0.64;0.21
51;"Robin Gosens";"Fiorentina";32;2544;5;5;5;2.42;2.42;2.94;11.14;7.04;0.09;0.09;0.1;0.19;0.19;0.39;0.25
52;"Nikola Vlasic";"Torino";30;2127;5;3;4;3.39;1.86;2.64;7.9;4.79;0.14;0.08;0.11;0.26;0.19;0.33;0.2
53;"Timothy Weah";"Juventus";30;1636;5;5;2;3.73;3.73;2;9.21;5.05;0.21;0.21;0.11;0.31;0.31;0.51;0.28
54;"Khvicha Kvaratskhelia";"Napoli";17;1201;5;4;3;4.2;3.43;3.71;8.85;3.66;0.31;0.26;0.28;0.59;0.54;0.66;0.27
55;"Matìas Soulè Malvano";"Roma";27;1807;5;5;5;3.7;3.7;6.45;14.14;6.34;0.18;0.18;0.32;0.51;0.51;0.7;0.32
56;"Dany Mota";"Monza";31;2121;5;5;2;4.94;4.94;1.96;9.05;3.24;0.21;0.21;0.08;0.29;0.29;0.38;0.14
57;"Lucas Beltrán";"Fiorentina";33;1965;5;3;4;6.05;3.77;2.94;12.85;7.15;0.28;0.17;0.13;0.41;0.31;0.59;0.33
58;"Daniel Mosquera";"Verona";35;1334;5;5;1;7.17;7.17;1.86;10.49;3.7;0.48;0.48;0.13;0.61;0.61;0.71;0.25
59;"Jacob Ondrejka";"Parma Calcio 1913";12;408;5;5;0;1.35;1.35;1.16;2.62;1.2;0.3;0.3;0.26;0.55;0.55;0.58;0.26
60;"Santiago Giménez";"AC Milan";14;665;5;5;2;4.46;3.7;1.69;5.89;1.03;0.6;0.5;0.23;0.83;0.73;0.8;0.14
61;"Marko Arnautovic";"Inter";18;531;4;4;2;4.48;4.48;1;4.68;1.47;0.76;0.76;0.17;0.93;0.93;0.79;0.25
62;"Bryan Cristante";"Roma";30;2046;4;4;2;2.45;2.45;1.72;10.65;8.62;0.11;0.11;0.08;0.18;0.18;0.47;0.38
63;"Davide Zappacosta";"Atalanta";30;2102;4;4;2;3.03;3.03;2.93;11.4;7.71;0.13;0.13;0.13;0.26;0.26;0.49;0.33
