Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
70,Nicholas Bilokapic,au AUS,GK,Peterborough United,21,2002,18,2,0,0,0,5,0,0,0,1,,,0,Matches
71,Bryant Bilongo,eng ENG,"MF,DF",Bristol Rovers,22,2001,9.3,0,0,0,16,20,1,20,21,7,,,1,Matches
72,Tyler Bindon,nz NZL,DF,Reading,19,2005,43.8,3,0,0,24,36,1,5,44,28,,,0,Matches
73,Jay Bird,eng ENG,FW,Exeter City,23,2001,2.9,1,0,0,10,7,0,2,0,2,,,0,Matches
74,Nathan Bishop,eng ENG,GK,Cambridge United,24,1999,13.4,2,0,0,0,2,0,0,0,1,,,0,Matches
75,Nathan Bishop,eng ENG,GK,Wycombe Wanderers,24,1999,2,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Jamal Blackman,eng ENG,GK,Shrewsbury Town,30,1993,27,1,0,0,0,9,0,0,0,1,,,0,Matches
77,Will Blackmore,eng ENG,GK,Peterborough United,21,2003,3,0,0,0,0,0,0,0,0,0,,,0,Matches
78,Frazer Blake-Tracy,eng ENG,"MF,DF",Mansfield Town,28,1995,13.6,3,0,0,11,11,1,38,13,7,,,0,Matches
79,Jonathan Bland,wls WAL,"MF,DF",Barnsley,18,2005,7.2,3,0,0,9,7,0,7,5,8,,,0,Matches
80,Tom Bloxham,eng ENG,FW,Blackpool,21,2003,7.4,0,0,0,11,4,4,16,2,3,,,0,Matches
81,Tom Bloxham,eng ENG,"MF,FW",Shrewsbury Town,21,2003,14.2,0,0,0,11,12,3,63,6,12,,,0,Matches
82,Hiram Boateng,eng ENG,MF,Mansfield Town,28,1996,22.2,8,1,1,40,12,0,77,17,19,,,0,Matches
83,Billy Bodin,wls WAL,"MF,FW",Burton Albion,32,1992,6.8,1,0,0,7,11,5,14,3,6,,,0,Matches
84,Billy Bodin,wls WAL,FW,Reading,32,1992,3.9,0,0,0,5,5,6,6,1,3,,,0,Matches
85,Terry Bondo,eng ENG,FW,Blackpool,17,2007,0.6,0,0,0,1,0,1,1,0,0,,,0,Matches
86,Pedro Borges,pt POR,MF,Exeter City,19,2005,0.1,1,0,0,0,1,0,0,1,0,,,0,Matches
87,Jordan Bowery,kn SKN,"DF,MF",Mansfield Town,33,1991,33.2,2,0,0,29,9,1,42,24,41,,,0,Matches
88,Coniah Boyce-Clarke,jm JAM,GK,Reading,21,2003,1,0,0,0,0,0,0,0,0,0,,,0,Matches
89,Sonny Bradley,eng ENG,DF,Wycombe Wanderers,32,1991,16.2,2,1,0,10,19,0,1,8,6,,,0,Matches
90,Cameron Bragg,eng ENG,MF,Crawley Town,19,2005,2.4,0,0,0,0,2,0,4,5,4,,,0,Matches
91,Cohen Bramall,eng ENG,"MF,DF",Rotherham United,28,1996,8.9,1,0,0,6,5,2,34,3,14,,,0,Matches
92,Alejandro Bran,cr CRC,MF,Burton Albion,23,2001,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
93,James Brophy,eng ENG,MF,Cambridge United,30,1994,39.9,5,0,0,39,64,2,126,33,49,,,0,Matches
94,Patrick Brough,eng ENG,DF,Northampton Town,28,1996,1.1,1,0,0,1,1,0,2,1,0,,,0,Matches
95,Jordan Brown,eng ENG,MF,Leyton Orient,23,2001,37.4,6,0,0,27,25,1,31,48,33,,,0,Matches
96,Lewis Brunt,eng ENG,DF,Wrexham,23,2000,21.1,2,0,0,19,15,0,2,29,34,,,0,Matches
97,Lee Buchanan,eng ENG,"DF,MF",Birmingham City,23,2001,1.5,0,0,0,1,2,0,4,2,2,,,0,Matches
98,Lee Burge,eng ENG,GK,Northampton Town,31,1993,29.7,1,0,0,0,1,0,0,1,1,,,0,Matches
99,Rumarn Burrell,jm JAM,FW,Burton Albion,23,2000,23.8,0,0,0,28,11,24,22,7,12,,,0,Matches
100,Callum Burton,eng ENG,GK,Wrexham,27,1996,3.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Matt Butcher,eng ENG,MF,Wycombe Wanderers,27,1997,2.9,0,0,0,4,0,0,1,0,1,,,0,Matches
102,Matt Butcher,eng ENG,MF,Bristol Rovers,27,1997,16.3,3,0,0,14,12,0,59,11,9,,,0,Matches
103,Dan Butler,eng ENG,DF,Stevenage,29,1994,27.9,7,0,0,22,13,1,97,16,26,,,0,Matches
104,David Button,eng ENG,GK,Reading,35,1989,5,0,0,0,0,1,0,0,1,0,,,0,Matches
105,Bailey-Tye Cadamarteri,jm JAM,FW,Lincoln City,19,2005,12.5,1,0,0,25,3,7,8,5,3,,,0,Matches
106,Mamadi Camará,gw GNB,FW,Reading,20,2003,18,3,0,0,21,18,9,10,7,19,,,0,Matches
107,Panutche Camará,gw GNB,MF,Crawley Town,27,1997,28.4,7,0,0,31,36,3,32,11,38,,,0,Matches
108,Allan Campbell,sct SCO,MF,Charlton Athletic,26,1998,6.1,1,0,0,11,8,2,0,4,8,,,0,Matches
109,Chem Campbell,wls WAL,FW,Reading,21,2002,33.8,3,0,0,43,57,13,42,15,19,,,0,Matches
110,Tyreece Campbell,jm JAM,"MF,FW",Charlton Athletic,20,2003,36.3,5,0,0,42,69,23,99,7,17,,,0,Matches
111,Callum Camps,nir NIR,MF,Stockport,28,1995,19.4,6,0,0,26,36,2,21,14,24,,,0,Matches
112,Andy Cannon,eng ENG,MF,Wrexham,28,1996,15.1,5,0,0,28,22,0,25,9,23,,,0,Matches
113,Mustapha Carayol,gm GAM,MF,Exeter City,35,1988,1.2,0,0,0,2,1,1,11,1,3,,,0,Matches
114,Sonny Carey,eng ENG,MF,Blackpool,23,2001,23.3,3,0,0,23,35,0,28,4,22,,,0,Matches
115,Baily Cargill,eng ENG,DF,Mansfield Town,29,1995,29.8,13,0,0,43,17,1,43,39,39,,,0,Matches
116,James Carragher,mt MLT,DF,Wigan Athletic,21,2002,25.3,6,0,0,33,27,0,25,27,22,,,0,Matches
117,Tom Carroll,eng ENG,MF,Reading,32,1992,0.8,1,0,0,1,0,0,2,0,0,,,0,Matches
118,Oliver Casey,eng ENG,DF,Blackpool,23,2000,42.4,6,0,0,23,21,2,2,74,43,,,1,Matches
119,Leo Castledine,eng ENG,MF,Shrewsbury Town,18,2005,16,4,0,0,28,27,2,22,7,14,,,0,Matches
120,Joel Castro Pereira,pt POR,GK,Reading,28,1996,40,2,0,0,1,9,0,0,0,0,,,0,Matches
121,Luke Chambers,eng ENG,DF,Wigan Athletic,20,2004,11,0,0,0,13,11,1,49,9,5,,,0,Matches
122,Andre Changunda,,FW,Peterborough United,,,0.3,0,0,0,0,1,0,3,0,0,,,0,Matches
123,Jacob Chapman,au AUS,GK,Huddersfield Town,23,2000,23,1,0,0,0,1,0,0,0,0,,,1,Matches
124,Dion Charles,nir NIR,FW,Bolton Wanderers,28,1995,14.2,1,0,0,24,21,11,9,1,14,,,0,Matches
125,Dion Charles,nir NIR,FW,Huddersfield Town,28,1995,12.6,2,0,0,25,18,16,5,0,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Kgagelo Chauke,eng ENG,MF,Burton Albion,21,2003,31.4,3,0,0,22,31,0,15,25,45,,,0,Matches
127,Tawanda Chirewa,zw ZIM,MF,Huddersfield Town,20,2003,6.4,0,0,0,3,11,3,20,4,7,,,0,Matches
128,Samy Chouchane,tn TUN,MF,Northampton Town,20,2003,15.1,3,0,0,29,11,3,53,18,25,,,0,Matches
129,Sean Clare,eng ENG,"MF,DF",Leyton Orient,27,1996,19.1,2,0,0,25,18,0,15,24,33,,,0,Matches
130,Jonson Clarke-Harris,jm JAM,FW,Rotherham United,30,1994,19.1,2,0,0,36,31,17,9,2,9,,,0,Matches
131,Max Cleworth,wls WAL,DF,Wrexham,21,2002,42,3,0,0,24,24,2,39,28,46,,,0,Matches
132,Sam Clucas,eng ENG,MF,Lincoln City,33,1990,2.6,1,0,0,3,2,0,6,0,2,,,0,Matches
133,Alex Cochrane,eng ENG,DF,Birmingham City,24,2000,40,5,0,0,29,60,1,183,22,48,,,0,Matches
134,Josh Cogley,eng ENG,"MF,DF",Bolton Wanderers,28,1996,34,7,1,1,68,52,7,90,30,52,,,0,Matches
135,Reece Cole,eng ENG,MF,Exeter City,26,1998,10.6,4,0,0,10,9,0,86,7,6,,,0,Matches
136,Will Collar,eng ENG,MF,Stockport,27,1997,34.9,3,0,0,56,42,8,31,14,41,,,0,Matches
137,Aaron Collins,wls WAL,"FW,MF",Bolton Wanderers,27,1997,35.7,4,0,0,23,48,31,84,5,11,,,0,Matches
138,Archie Collins,eng ENG,MF,Peterborough United,24,1999,36.5,7,0,0,36,41,0,9,43,50,,,0,Matches
139,James Collins,ie IRL,FW,Lincoln City,33,1990,14.4,2,0,0,19,22,18,7,5,6,,,0,Matches
140,Joel Colwill,wls WAL,"MF,FW",Exeter City,19,2004,11,2,0,0,13,32,0,9,7,12,,,0,Matches
141,Chris Conn-Clarke,nir NIR,MF,Peterborough United,22,2001,12.2,1,0,0,7,25,2,52,3,6,,,0,Matches
142,Luca Connell,ie IRL,MF,Barnsley,23,2001,35.4,13,0,0,41,41,0,142,35,42,,,0,Matches
143,Callum Connolly,eng ENG,DF,Stockport,26,1997,29.4,6,1,1,28,36,1,24,20,23,,,0,Matches
144,Dion Conroy,eng ENG,DF,Crawley Town,28,1995,20.4,1,0,0,7,15,1,0,13,9,,,0,Matches
145,Kamil Conteh,sl SLE,MF,Bristol Rovers,21,2002,17.9,6,0,0,37,3,0,7,28,34,,,0,Matches
146,Brandon Cooper,wls WAL,DF,Leyton Orient,24,2000,18.1,5,0,0,16,36,0,2,16,13,,,0,Matches
147,Jack Cooper Love,se SWE,"MF,FW",Burton Albion,22,2001,7.6,1,0,0,20,9,0,2,2,7,,,0,Matches
148,Murphy Cooper,eng ENG,GK,Stevenage,22,2001,37,1,0,0,0,3,0,0,0,1,,,0,Matches
149,Sam Cosgrove,eng ENG,FW,Barnsley,27,1996,9.2,3,0,0,29,16,8,3,0,2,,,0,Matches
150,Sam Cosgrove,eng ENG,FW,Stockport,27,1996,1.3,0,0,0,9,7,2,1,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Dara Costelloe,ie IRL,FW,Northampton Town,21,2002,13.9,2,0,0,27,16,15,10,0,8,,,0,Matches
152,Barry Cotter,ie IRL,MF,Barnsley,25,1998,13.8,1,0,0,11,23,8,48,18,22,,,0,Matches
153,Hayden Coulson,eng ENG,"DF,MF",Blackpool,26,1998,25.6,4,0,0,21,54,2,56,33,39,,,0,Matches
154,Jordan Cousins,eng ENG,MF,Cambridge United,30,1994,23.3,1,0,0,26,33,0,8,22,30,,,0,Matches
155,Conor Coventry,ie IRL,MF,Charlton Athletic,24,2000,42.3,11,0,0,70,34,0,134,69,94,,,1,Matches
156,Matthew Cox,eng ENG,GK,Crawley Town,21,2003,3,0,0,0,0,2,0,0,0,0,,,0,Matches
157,Sonny Cox,eng ENG,FW,Exeter City,19,2004,8.6,0,0,0,15,10,2,6,1,5,,,0,Matches
158,Matthew Craig,sct SCO,MF,Mansfield Town,21,2003,3.1,0,0,0,3,6,0,3,1,3,,,0,Matches
159,Matthew Craig,sct SCO,MF,Barnsley,21,2003,8.8,0,0,0,13,7,0,4,12,18,,,0,Matches
160,Michael Craig,sct SCO,DF,Reading,21,2003,28.5,3,0,0,18,24,0,50,23,56,,,0,Matches
161,Tristan Crama,fr FRA,DF,Exeter City,22,2001,21.3,4,0,0,15,16,0,3,23,13,,,1,Matches
162,Max Crocombe,nz NZL,GK,Burton Albion,30,1993,43,6,0,0,1,3,0,0,1,2,,,1,Matches
163,Jack Currie,eng ENG,DF,Leyton Orient,21,2002,33.3,3,1,0,35,32,1,85,53,76,,,0,Matches
164,Sam Curtis,ie IRL,"DF,MF",Peterborough United,18,2005,10.1,5,0,0,16,23,2,34,11,21,,,0,Matches
165,James Dadge,eng ENG,GK,Northampton Town,19,2004,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
166,Sam Dalby,eng ENG,FW,Wrexham,24,2000,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
167,Owen Dale,eng ENG,MF,Wigan Athletic,25,1998,14.3,3,0,0,27,31,7,49,12,14,,,0,Matches
168,Ronan Darcy,eng ENG,"MF,FW",Crawley Town,23,2000,18.4,4,0,0,11,7,5,56,5,3,,,0,Matches
169,Ronan Darcy,eng ENG,"MF,FW",Wigan Athletic,23,2000,8,1,0,0,11,2,2,27,1,3,,,0,Matches
170,Tendayi Darikwa,zw ZIM,"MF,DF",Lincoln City,32,1991,42.4,8,0,0,28,28,2,79,58,42,,,1,Matches
171,Ben Davies,eng ENG,DF,Birmingham City,28,1995,32.9,3,0,0,13,35,0,1,25,23,,,0,Matches
172,Cameron Dawson,eng ENG,GK,Rotherham United,29,1995,13.9,1,0,0,0,5,0,0,0,0,,,0,Matches
