Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
184,Tyronne Ebuehi,ng NGA,DF,Empoli,28,1995,0.8,0,0,0,0,2,0,2,2,2,,,0,Matches
185,Éderson,br BRA,MF,Atalanta,25,1999,32,5,1,1,31,53,0,23,33,33,,,0,Matches
186,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,29,1995,27.8,5,0,0,33,33,5,60,23,35,,,0,Matches
187,Jeff Ekhator,it ITA,"FW,MF",Genoa,17,2006,8.5,1,0,0,15,13,3,10,2,4,,,0,Matches
188,Jurgen Ekkelenkamp,nl NED,MF,Udinese,24,2000,21,2,0,0,29,14,2,13,12,25,,,0,Matches
189,Emmanuel Ekong,se SWE,FW,Empoli,22,2002,2.1,1,0,0,3,5,1,0,1,3,,,0,Matches
190,Caleb Ekuban,gh GHA,FW,Genoa,30,1994,6.2,1,0,0,15,9,5,3,1,3,,,0,Matches
191,Mikael Ellertsson,is ISL,MF,Venezia,22,2002,27.4,2,0,0,22,43,2,28,15,27,,,0,Matches
192,Elif Elmas,mk MKD,"MF,FW",Torino,24,1999,11.3,0,0,0,13,14,2,23,4,8,,,0,Matches
193,Emerson,br BRA,DF,Milan,25,1999,15.3,5,0,0,34,32,0,45,15,29,,,0,Matches
194,Yannik Engelhardt,de GER,"MF,DF",Como,23,2001,12.9,4,0,0,22,20,1,1,13,14,,,0,Matches
195,Martin Erlic,hr CRO,DF,Bologna,26,1998,3.7,0,0,0,7,7,0,0,2,0,,,0,Matches
196,Sebastiano Esposito,it ITA,"FW,MF",Empoli,22,2002,25.9,1,0,0,47,56,10,55,11,29,,,0,Matches
197,Estanis,es ESP,FW,Bologna,20,2003,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
198,Nahuel Estévez,ar ARG,MF,Parma,28,1995,7.3,3,0,0,9,9,0,15,3,7,,,0,Matches
199,Giovanni Fabbian,it ITA,MF,Bologna,21,2003,11.4,2,0,0,21,22,1,8,2,6,,,0,Matches
200,Alieu Fadera,gm GAM,MF,Como,22,2001,18.3,2,1,0,40,50,14,39,12,47,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Nicolò Fagioli,it ITA,MF,Fiorentina,23,2001,10.7,0,0,0,8,14,0,27,5,10,,,0,Matches
202,Nicolò Fagioli,it ITA,MF,Juventus,23,2001,6.3,4,0,0,11,5,0,13,2,10,,,0,Matches
203,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,2,0,0,1,11,0,0,1,0,,,0,Matches
204,Davide Faraoni,it ITA,"MF,DF",Hellas Verona,32,1991,2.9,1,0,0,7,1,2,12,2,9,,,0,Matches
205,Jacopo Fazzini,it ITA,MF,Empoli,21,2003,15.4,1,1,0,23,32,4,32,7,19,,,0,Matches
206,Mattia Felici,it ITA,MF,Cagliari,23,2001,10.3,1,0,0,18,17,4,25,5,13,,,0,Matches
207,João Félix,pt POR,MF,Milan,24,1999,8.4,3,0,0,12,30,2,5,1,6,,,0,Matches
208,Lewis Ferguson,sct SCO,MF,Bologna,24,1999,10.9,0,0,0,26,20,1,17,4,15,,,0,Matches
209,Daniel Fila,cz CZE,FW,Venezia,21,2002,5.5,3,1,1,13,7,3,0,0,1,,,0,Matches
210,Alessandro Florenzi,it ITA,"DF,FW",Milan,33,1991,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
211,Youssouf Fofana,fr FRA,MF,Milan,25,1999,27.8,5,0,0,28,17,0,10,17,34,,,0,Matches
212,Michael Folorunsho,it ITA,MF,Fiorentina,26,1998,7.2,5,0,0,16,23,0,22,4,13,,,0,Matches
213,Michael Folorunsho,it ITA,"FW,MF",Napoli,26,1998,0.4,0,0,0,2,1,0,0,0,2,,,0,Matches
214,Omari Forson,eng ENG,FW,Monza,20,2004,2.5,0,0,0,2,2,1,9,1,3,,,0,Matches
215,Davide Frattesi,it ITA,MF,Inter,24,1999,13.6,1,0,0,11,32,2,8,4,11,,,0,Matches
