"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
448;"Mamadou Coulibaly";"Monaco";1;5;0;0;0;0.04;0.04;0;0.04;0.04;0.64;0.64;0;0.64;0.64;0.64;0.64
449;"Nhoa Sangui";"Reims";26;1080;0;0;2;0.11;0.11;0.56;3.85;3.28;0.01;0.01;0.05;0.06;0.06;0.32;0.27
450;"Adryelson";"Lyon";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
451;"Lucas Perri";"Lyon";33;2970;0;0;0;0;0;0.01;5.62;5.6;0;0;0;0;0;0.17;0.17
452;"Lucas Michal";"Monaco";8;98;0;0;0;0.37;0.37;0.81;2.01;0.91;0.34;0.34;0.75;1.09;1.09;1.85;0.84
453;"Dehmaine Assoumani";"Nantes";12;63;0;0;0;0.05;0.05;1.27;1.11;0.47;0.07;0.07;1.81;1.88;1.88;1.58;0.67
454;"Tom Pouilly";"Lens";10;252;0;0;0;0.64;0.64;0.56;1.61;0.93;0.23;0.23;0.2;0.43;0.43;0.58;0.33
455;"Yoram Zague";"Paris Saint Germain";4;183;0;0;0;0.05;0.05;0.11;1.26;1.1;0.02;0.02;0.06;0.08;0.08;0.62;0.54
456;"Junior Ndiaye";"Montpellier";15;410;0;0;0;0.82;0.82;0.32;1.99;0.99;0.18;0.18;0.07;0.25;0.25;0.44;0.22
457;"Faris Moumbagna";"Marseille";1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
458;"Valentín Barco";"Strasbourg";14;1181;0;0;2;0.42;0.42;0.99;6.14;4.93;0.03;0.03;0.08;0.11;0.11;0.47;0.38
459;"Mikayil Faye";"Rennes";11;701;0;0;0;0.21;0.21;0.03;1.24;1.15;0.03;0.03;0;0.03;0.03;0.16;0.15
460;"Amidou Doumbouya";"Nice";2;36;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0.17;0.17
461;"Ikechukwu Orazi";"Reims";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
462;"Keyliane Abdallah";"Marseille";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
463;"Rafik Messali";"Toulouse";13;449;0;0;1;0.27;0.27;1.32;1.99;1.51;0.05;0.05;0.26;0.32;0.32;0.4;0.3
464;"Darryl Bakola";"Marseille";2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
465;"Abdoul Koné";"Reims";4;149;0;0;0;0;0;0;0.13;0.13;0;0;0;0;0;0.08;0.08
466;"Mathéo Bodmer";"Le Havre";1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
467;"Yanis Zouaoui";"Le Havre";17;964;0;0;2;0.13;0.13;2.82;3.59;2.66;0.01;0.01;0.26;0.28;0.28;0.34;0.25
468;"Derek Cornelius";"Marseille";21;1439;0;0;0;1.25;1.25;0.12;8.21;8.11;0.08;0.08;0.01;0.09;0.09;0.51;0.51
469;"Enzo Sternal";"Marseille";2;13;0;0;0;0;0;0.02;0.02;0;0;0;0.15;0.15;0.15;0.15;0
470;"Alexi Koum";"Marseille";1;10;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;4.46;4.46
471;"Ngal&#039;ayel Mukau";"Lille";22;1224;0;0;1;0.63;0.63;0.6;5.43;4.5;0.05;0.05;0.04;0.09;0.09;0.4;0.33
472;"Beres Owusu";"Saint-Etienne";1;90;0;0;0;0;0;0.05;0.07;0.02;0;0;0.05;0.05;0.05;0.07;0.02
473;"Marwann N&#039;Zuzi";"Saint-Etienne";2;130;0;0;0;0.03;0.03;0.25;0.28;0.25;0.02;0.02;0.17;0.19;0.19;0.19;0.17
474;"Mathis Amougou";"Saint-Etienne";17;840;0;0;0;0.42;0.42;0.36;1.94;1.39;0.05;0.05;0.04;0.08;0.08;0.21;0.15
475;"Ben Old";"Saint-Etienne";13;503;0;0;0;1.07;1.07;0.68;2.25;0.61;0.19;0.19;0.12;0.31;0.31;0.4;0.11
476;"Ayman Aiki";"Saint-Etienne";5;124;0;0;0;0.14;0.14;0.02;0.16;0;0.1;0.1;0.01;0.11;0.11;0.11;0
477;"Jibril Othman";"Saint-Etienne";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
478;"Kévin Pedro";"Saint-Etienne";1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
479;"Clément Akpa";"Auxerre";31;2507;0;0;1;0.21;0.21;0.69;5.75;5.52;0.01;0.01;0.02;0.03;0.03;0.21;0.2
480;"Eros Maddy";"Auxerre";2;6;0;0;0;0;0;0.07;0.2;0.13;0;0;1.05;1.05;1.05;3;1.95
481;"Ben Viadère";"Auxerre";1;2;0;0;0;0;0;0.06;0;0;0;0;2.85;2.85;2.85;0;0
482;"Issiaga Camara";"Nice";4;8;0;0;0;0;0;0;0.21;0.21;0;0;0;0;0;2.41;2.41
483;"Victor Orakpo";"Nice";4;22;0;0;0;0.2;0.2;0;0.27;0.08;0.8;0.8;0;0.8;0.8;1.11;0.31
484;"Yaël Nandjou";"Nice";3;162;0;0;0;0.3;0.3;0.71;0.92;0.82;0.17;0.17;0.4;0.56;0.56;0.51;0.46
485;"Théo Chennahi";"Montpellier";4;178;0;0;0;0.06;0.06;0.04;0.24;0.14;0.03;0.03;0.02;0.05;0.05;0.12;0.07
486;"Stefan Dzodic";"Montpellier";7;232;0;0;0;0.1;0.1;0;0.38;0.3;0.04;0.04;0;0.04;0.04;0.15;0.12
487;"Caleb Wiley";"Strasbourg";6;266;0;0;1;0.09;0.09;0.42;0.64;0.17;0.03;0.03;0.14;0.17;0.17;0.22;0.06
488;"Óscar Perea";"Strasbourg";2;6;0;0;0;0.01;0.01;0;0.11;0.1;0.16;0.16;0;0.16;0.16;1.66;1.5
489;"Sidiki Chérif";"Angers";7;316;0;0;0;0.67;0.67;0.2;1.31;0.45;0.19;0.19;0.06;0.25;0.25;0.37;0.13
490;"Melvin Zinga";"Angers";1;90;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0.12;0.12
491;"Glen Kamara";"Rennes";13;669;0;0;1;0.07;0.07;0.34;2.29;1.98;0.01;0.01;0.05;0.06;0.06;0.31;0.27
492;"Jordan James";"Rennes";23;1195;0;0;1;0.77;0.77;1.59;6.5;5.05;0.06;0.06;0.12;0.18;0.18;0.49;0.38
493;"Ibrahima Wadji";"Saint-Etienne";10;310;0;0;0;1.45;1.45;0.01;1.52;0.17;0.42;0.42;0;0.42;0.42;0.44;0.05
494;"Moïse Bombito";"Nice";27;2197;0;0;0;0.67;0.67;0.1;10.3;10.19;0.03;0.03;0;0.03;0.03;0.42;0.42
495;"Gabriel Moscardo";"Reims";6;74;0;0;0;0.15;0.15;0;0.25;0.1;0.18;0.18;0;0.18;0.18;0.31;0.12
496;"Serigne Diop";"Brest";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
497;"Pierre Cornud";"Saint-Etienne";11;568;0;0;0;0;0;0.4;1.85;1.75;0;0;0.06;0.06;0.06;0.29;0.28
498;"Ümit Akdag";"Toulouse";9;514;0;0;0;0.08;0.08;0.05;0.62;0.59;0.01;0.01;0.01;0.02;0.02;0.11;0.1
499;"Mohamed Abdelmonem";"Nice";12;857;0;0;0;0;0;0;4.06;4.06;0;0;0;0;0;0.43;0.43
500;"Mohamed Bamba";"Reims";2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
501;"Aristide Zossou";"Auxerre";3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
502;"Patrik Carlgren";"Nantes";5;417;0;0;0;0;0;0;0.66;0.66;0;0;0;0;0;0.14;0.14
503;"Jaydee Canvot";"Toulouse";18;1102;0;0;0;0.24;0.24;0.44;3.72;3.36;0.02;0.02;0.04;0.06;0.06;0.3;0.27
504;"Juma Bah";"Lens";10;684;0;0;0;0.1;0.1;0.12;2.67;2.54;0.01;0.01;0.02;0.03;0.03;0.35;0.33
505;"Simon Cara";"Montpellier";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
506;"Igor Miladinovic";"Saint-Etienne";3;19;0;0;0;0;0;0;0.01;0.01;0;0;0;0;0;0.07;0.07
507;"Niama Sissoko";"Reims";4;33;0;0;0;0.14;0.14;0;0.14;0;0.38;0.38;0;0.38;0.38;0.38;0
508;"Ange-Loïc N’Gatta";"Auxerre";2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
509;"Sékou Doucouré";"Nantes";2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510;"Kyllian Antonio";"Lens";3;144;0;0;0;0.06;0.06;0;0.07;0.02;0.03;0.03;0;0.03;0.03;0.05;0.01
511;"Marius Courcoul";"Angers";8;296;0;0;0;0.06;0.06;0.04;0.44;0.4;0.02;0.02;0.01;0.03;0.03;0.13;0.12
512;"Yael Mouanga";"Montpellier";14;941;0;0;0;0.36;0.36;0.28;2.51;2.51;0.03;0.03;0.03;0.06;0.06;0.24;0.24
513;"Younes Lachaab";"Lille";2;4;0;0;0;0.05;0.05;0;0.2;0.14;1.23;1.23;0;1.23;1.23;4.39;3.16
514;"Milos Lukovic";"Strasbourg";2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
515;"Kembo Diliwidi";"Lens";1;3;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;2.01;2.01
516;"Axel Tape";"Paris Saint Germain";2;180;0;0;0;0.03;0.03;0.03;1.47;1.44;0.01;0.01;0.02;0.03;0.03;0.73;0.72
517;"Bernard Nguene";"Nice";1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518;"Djylian N&#039;Guessan";"Saint-Etienne";8;181;0;0;0;0.44;0.44;0.31;0.87;0.35;0.22;0.22;0.15;0.37;0.37;0.43;0.17
519;"Hafiz Ibrahim";"Reims";11;360;0;0;1;0.6;0.6;0.43;1.41;0.42;0.15;0.15;0.11;0.26;0.26;0.35;0.11
520;"Gabin Capuano";"Lens";1;10;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0.6;0.6
521;"Yoann Cisse";"Auxerre";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
522;"Robinio Vaz";"Marseille";2;68;0;0;0;0.65;0.65;0;0.68;0.03;0.86;0.86;0;0.86;0.86;0.91;0.04
523;"Plamedi Nsingi";"Nantes";1;17;0;0;0;0.09;0.09;0;0.09;0;0.48;0.48;0;0.48;0.48;0.48;0
524;"Hiroki Sekine";"Reims";15;866;0;0;0;0.15;0.15;0.24;2.73;2.61;0.02;0.02;0.02;0.04;0.04;0.28;0.27
525;"Zabi Gueu";"Reims";2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
526;"Nicolas Pays";"Montpellier";9;433;0;0;0;1;1;0.31;1.97;0.78;0.21;0.21;0.07;0.27;0.27;0.41;0.16
527;"Fredrik Oppegård";"Auxerre";9;261;0;0;0;0.1;0.1;0.12;1.35;1.12;0.04;0.04;0.04;0.08;0.08;0.46;0.39
528;"Malcolm Jeng";"Reims";3;114;0;0;0;0;0;0;0.11;0.11;0;0;0;0;0;0.09;0.09
529;"Kyogo Furuhashi";"Rennes";6;110;0;0;0;0.04;0.04;0;0.11;0.07;0.03;0.03;0;0.03;0.03;0.09;0.06
530;"Kazeem Olaigbe";"Rennes";10;288;0;0;2;0.23;0.23;2.38;4.12;1.84;0.07;0.07;0.74;0.82;0.82;1.29;0.57
531;"Amar Dedic";"Marseille";10;289;0;0;1;0.72;0.72;0.86;4.04;3.11;0.22;0.22;0.27;0.49;0.49;1.26;0.97
532;"Rayan Fofana";"Lens";2;24;0;0;0;0;0;0;0.58;0.58;0;0;0;0;0;2.16;2.16
533;"Téo Barisic";"Lyon";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
534;"Wilfried Ndollo Bille";"Montpellier";8;390;0;0;0;0;0;0.03;0.79;0.76;0;0;0.01;0.01;0.01;0.18;0.17
535;"Ange Tia";"Reims";6;166;0;0;0;0.5;0.5;0.02;0.64;0.16;0.27;0.27;0.01;0.28;0.28;0.35;0.09
536;"Hamidou Makalou";"Brest";4;20;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0.55;0.55
537;"Rudy Matondo";"Auxerre";5;53;0;0;0;0;0;0;0.23;0.23;0;0;0;0;0;0.39;0.39
538;"Alejandro Rodríguez";"Lyon";1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
539;"Noham Kamara";"Paris Saint Germain";2;68;0;0;0;0;0;0;0.63;0.63;0;0;0;0;0;0.83;0.83
540;"Prosper Peter";"Angers";2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
541;"Enzo Caumont";"Angers";2;29;0;0;0;0;0;0;0.09;0.09;0;0;0;0;0;0.27;0.27
542;"Lanroy Machine";"Angers";2;6;0;0;0;0.05;0.05;0;0.05;0;0.81;0.81;0;0.81;0.81;0.81;0
