Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
277,Randal Kolo Muani,fr FRA,FW,Paris Saint-Germain,25,1998,10,2,358,4,2,1,3,1,1,1,0,0,0.5,0.25,0.75,0.25,0.5,Matches
278,Geoffrey Kondogbia,cf CTA,"DF,MF",Marseille,31,1993,25,22,"2,020",22.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
279,Abdoul Koné,fr FRA,DF,Reims,19,2005,4,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Amadou Koné,ml MLI,MF,Reims,19,2005,24,17,"1,293",14.4,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
281,Ismaël Koné,ca CAN,MF,Marseille,22,2002,8,3,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Ismaël Koné,ca CAN,MF,Rennes,22,2002,13,4,469,5.2,2,1,3,2,0,0,1,0,0.38,0.19,0.58,0.38,0.58,Matches
283,Emmanuel Koum Mbondo,fr FRA,FW,Marseille,18,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Boubakar Kouyaté,ml MLI,DF,Montpellier,27,1997,11,8,756,8.4,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
285,Goduine Koyalipou,cf CTA,FW,Lens,24,2000,15,12,885,9.8,4,0,4,4,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
286,Sael Kumbedi,fr FRA,DF,Lyon,19,2005,14,12,951,10.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
287,Daler Kuzyaev,ru RUS,MF,Le Havre,31,1993,12,6,567,6.3,1,0,1,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
288,Khvicha Kvaratskhelia,ge GEO,FW,Paris Saint-Germain,23,2001,14,11,916,10.2,4,3,7,4,0,0,0,0,0.39,0.29,0.69,0.39,0.69,Matches
289,Rémy Labeau Lascary,gp GLP,"MF,FW",Lens,21,2003,14,6,637,7.1,2,1,3,2,0,0,5,0,0.28,0.14,0.42,0.28,0.42,Matches
290,Gaëtan Laborde,fr FRA,FW,Nice,30,1994,28,20,"1,829",20.3,11,4,15,7,4,4,1,0,0.54,0.2,0.74,0.34,0.54,Matches
291,Alexandre Lacazette,fr FRA,FW,Lyon,33,1991,30,24,"2,051",22.8,15,2,17,10,5,6,5,0,0.66,0.09,0.75,0.44,0.53,Matches
292,Younes Lachaab,fr FRA,MF,Lille,19,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
