Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
107,Alan Browne,ie IRL,"MF,DF",Sunderland,29,1995,22,13,"1,212",13.5,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,107,ie IRL,"MF,DF",29,1995,13.5,1,10,3,30,0.74,0.22,0.1,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
440,Alex Matos,eng ENG,"MF,FW",Oxford United,19,2004,20,10,933,10.4,0,0,0,0,0,0,5,0,0,0,0,0,0,440,eng ENG,"MF,FW",19,2004,10.4,0,2,0,0,0.19,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
490,Alex Mowatt,eng ENG,MF,West Bromwich Albion,29,1995,43,39,"3,351",37.2,7,2,9,7,0,0,5,0,0.19,0.05,0.24,0.19,0.24,490,eng ENG,MF,29,1995,37.2,7,30,10,33.3,0.81,0.27,0.23,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
542,Alex Palmer,eng ENG,GK,West Bromwich Albion,27,1996,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0,542,eng ENG,GK,27,1996,30,0,0,0,,0,0,,,0,0,,,,,,,,,35,eng ENG,GK,27,1996,30,30,"2,700",30,27,0.9,104,78,75,10,14,6,11,36.7,1,1,0,0,0,ENG-Championship
279,Alexander Gilbert,ie IRL,MF,Middlesbrough,22,2001,7,0,77,0.9,1,0,1,1,0,0,0,0,1.17,0,1.17,1.17,1.17,279,ie IRL,MF,22,2001,0.9,1,1,1,100,1.17,1.17,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
599,Alexander Robertson,au AUS,MF,Cardiff City,21,2003,35,29,"2,409",26.8,3,3,6,3,0,0,7,0,0.11,0.11,0.22,0.11,0.22,599,au AUS,MF,21,2003,26.8,3,18,7,38.9,0.67,0.26,0.17,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
205,Alfie Doughty,eng ENG,MF,Luton Town,24,1999,26,25,"2,037",22.6,1,4,5,1,0,0,5,0,0.04,0.18,0.22,0.04,0.22,205,eng ENG,MF,24,1999,22.6,1,16,3,18.8,0.71,0.13,0.06,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
280,Alfie Gilchrist,eng ENG,DF,Sheffield United,20,2003,30,27,"2,103",23.4,0,2,2,0,0,0,5,0,0,0.09,0.09,0,0.09,280,eng ENG,DF,20,2003,23.4,0,9,2,22.2,0.39,0.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
366,Alfie Jones,ca CAN,DF,Hull City,26,1997,41,37,"3,389",37.7,0,0,0,0,0,0,8,0,0,0,0,0,0,366,ca CAN,DF,26,1997,37.7,0,8,3,37.5,0.21,0.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
418,Alfie Lloyd,eng ENG,"MF,FW",Queens Park Rangers,21,2003,27,4,747,8.3,2,0,2,2,0,0,4,0,0.24,0,0.24,0.24,0.24,418,eng ENG,"MF,FW",21,2003,8.3,2,18,4,22.2,2.17,0.48,0.11,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
