"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
423;"Jesús Vázquez";"Valencia";19;907;0;0;0;0.27;0.27;0.53;2.42;2.04;0.03;0.03;0.05;0.08;0.08;0.24;0.2
424;"Juan Iglesias";"Getafe";37;2888;0;0;1;1.42;1.42;2.03;7.28;5.1;0.04;0.04;0.06;0.11;0.11;0.23;0.16
425;"Antonio Blanco";"Alaves";35;2755;0;0;1;0.71;0.71;1.74;6.05;4.14;0.02;0.02;0.06;0.08;0.08;0.2;0.14
426;"Hugo Novoa Ramos";"Alaves";5;217;0;0;0;0.6;0.6;0.12;1.45;0.86;0.25;0.25;0.05;0.3;0.3;0.6;0.36
427;"Abdelkabir Abqar";"Alaves";29;2489;0;0;1;0.86;0.86;0.24;2.93;2.71;0.03;0.03;0.01;0.04;0.04;0.11;0.1
428;"Beñat Turrientes";"Real Sociedad";21;933;0;0;0;0.34;0.34;0.37;3.69;3.26;0.03;0.03;0.04;0.07;0.07;0.36;0.31
429;"Carlos Domínguez";"Celta Vigo";19;1178;0;0;0;0.19;0.19;0.06;2.63;2.57;0.01;0.01;0;0.02;0.02;0.2;0.2
430;"Hugo Sotelo";"Celta Vigo";24;1268;0;0;0;0.21;0.21;1.46;6.35;6.11;0.01;0.01;0.1;0.12;0.12;0.45;0.43
431;"Albert Sambi Lokonga";"Sevilla";22;1482;0;0;2;0.77;0.77;1.4;4.78;3.42;0.05;0.05;0.09;0.13;0.13;0.29;0.21
432;"Karl Hein";"Real Valladolid";31;2790;0;0;0;0;0;0;3.16;3.16;0;0;0;0;0;0.1;0.1
433;"Giorgi Mamardashvili";"Valencia";34;3060;0;0;0;0;0;0.07;2.81;2.75;0;0;0;0;0;0.08;0.08
434;"Diego Conde";"Villarreal";22;1965;0;0;1;0;0;0.4;2.32;1.92;0;0;0.02;0.02;0.02;0.11;0.09
435;"Justin Smith";"Espanyol";5;209;0;0;0;0;0;0.03;0.09;0.06;0;0;0.01;0.01;0.01;0.04;0.03
436;"Brian Oliván";"Espanyol";17;1020;0;0;1;0.41;0.41;0.94;1.74;1.51;0.04;0.04;0.08;0.12;0.12;0.15;0.13
437;"Inigo Ruiz de Galarreta";"Athletic Club";26;1502;0;0;4;0.37;0.37;3.47;8.67;7.62;0.02;0.02;0.21;0.23;0.23;0.52;0.46
438;"Dominik Greif";"Mallorca";31;2790;0;0;0;0;0;0;2.51;2.51;0;0;0;0;0;0.08;0.08
439;"Jesús Areso";"Osasuna";36;3111;0;0;3;0.57;0.57;3.45;7.54;5.58;0.02;0.02;0.1;0.12;0.12;0.22;0.16
440;"Joan García";"Espanyol";38;3420;0;0;0;0.07;0.07;0;2.23;2.23;0;0;0;0;0;0.06;0.06
441;"Henrique";"Real Valladolid";5;354;0;0;0;0.05;0.05;0.03;0.88;0.85;0.01;0.01;0.01;0.02;0.02;0.22;0.22
442;"Franco Cervi";"Celta Vigo";7;266;0;0;0;0;0;0.59;0.22;0.01;0;0;0.2;0.2;0.2;0.08;0
443;"Álex Balde";"Barcelona";32;2303;0;0;4;0.55;0.55;3.66;19.24;17.11;0.02;0.02;0.14;0.16;0.16;0.75;0.67
444;"José Ángel Carmona";"Sevilla";35;2993;0;0;0;0.6;0.6;1.95;9.57;8.18;0.02;0.02;0.06;0.08;0.08;0.29;0.25
445;"Fran García";"Real Madrid";31;2180;0;0;2;1.22;1.22;2.22;16.86;14.9;0.05;0.05;0.09;0.14;0.14;0.7;0.62
446;"Óscar Valentín";"Rayo Vallecano";34;1804;0;0;0;0.75;0.75;0.81;4.49;3.84;0.04;0.04;0.04;0.08;0.08;0.22;0.19
447;"Julen Agirrezabala";"Athletic Club";14;1212;0;0;0;0;0;0;3.15;3.15;0;0;0;0;0;0.23;0.23
448;"Nicolás Serrano";"Athletic Club";4;107;0;0;0;0.19;0.19;0.02;1.55;1.35;0.16;0.16;0.01;0.17;0.17;1.3;1.14
449;"Leo Román";"Mallorca";7;630;0;0;0;0;0;0;0.8;0.8;0;0;0;0;0;0.11;0.11
450;"Gonzalo Montiel";"Sevilla";6;103;0;0;0;0.07;0.07;0;0.12;0.05;0.06;0.06;0;0.06;0.06;0.11;0.05
451;"Maximiliano Caufriez";"Valencia";1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
452;"Antonio Sánchez";"Mallorca";33;1353;0;0;0;1.29;1.29;0.42;4.19;2.64;0.09;0.09;0.03;0.11;0.11;0.28;0.18
453;"Jesús Owono";"Alaves";6;482;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;0.01;0.01
454;"Javi Llabrés";"Mallorca";1;60;0;0;0;0.02;0.02;0.06;0.3;0.21;0.03;0.03;0.09;0.13;0.13;0.45;0.32
455;"Peter";"Getafe";17;433;0;0;0;1.19;1.19;0.12;1.7;0.61;0.25;0.25;0.03;0.27;0.27;0.35;0.13
456;"Mika Mármol";"Las Palmas";30;2398;0;0;1;0.46;0.46;1.56;7.47;6.86;0.02;0.02;0.06;0.08;0.08;0.28;0.26
457;"Adrián Rodríguez";"Alaves";2;120;0;0;0;0;0;0;0.04;0.04;0;0;0;0;0;0.03;0.03
458;"Iker Benito";"Osasuna";2;28;0;0;0;0;0;0.02;0.02;0;0;0;0.06;0.06;0.06;0.06;0
459;"Chiquinho";"Mallorca";8;134;0;0;0;0.25;0.25;0.04;0.37;0.1;0.17;0.17;0.02;0.19;0.19;0.25;0.07
460;"Eray Cömert";"Real Valladolid";25;1800;0;0;0;1.21;1.21;0;3.23;3.06;0.06;0.06;0;0.06;0.06;0.16;0.15
461;"Jesús Santiago";"Getafe";19;333;0;0;0;0.02;0.02;0;0.23;0.2;0.01;0.01;0;0.01;0.01;0.06;0.06
462;"Damián Rodríguez";"Celta Vigo";17;934;0;0;0;0.13;0.13;0.77;6.72;6.55;0.01;0.01;0.07;0.09;0.09;0.65;0.63
463;"Scott McKenna";"Las Palmas";29;2468;0;0;0;1.19;1.19;0.25;4.78;4.27;0.04;0.04;0.01;0.05;0.05;0.17;0.16
464;"Omar El Hilali";"Espanyol";36;3173;0;0;2;0.03;0.03;1.21;5.61;4.49;0;0;0.03;0.04;0.04;0.16;0.13
465;"Álvaro Aguado";"Espanyol";16;421;0;0;1;0.48;0.48;0.75;1.53;0.75;0.1;0.1;0.16;0.26;0.26;0.33;0.16
466;"David Torres";"Real Valladolid";18;1384;0;0;0;0.21;0.21;0.01;2.8;2.79;0.01;0.01;0;0.01;0.01;0.18;0.18
467;"Fran Pérez";"Valencia";26;497;0;0;0;0.29;0.29;1.95;2.1;0.78;0.05;0.05;0.35;0.4;0.4;0.38;0.14
468;"Samú Costa";"Mallorca";32;2667;0;0;2;2.07;2.07;1.75;6.66;4.45;0.07;0.07;0.06;0.13;0.13;0.22;0.15
469;"Malcom Adu";"Athletic Club";1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
470;"Copete";"Mallorca";25;1511;0;0;0;0.55;0.55;0;3.09;3;0.03;0.03;0;0.03;0.03;0.18;0.18
471;"Gorka Rivera";"Getafe";1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
472;"Marcão";"Sevilla";12;547;0;0;0;0;0;0;0.53;0.53;0;0;0;0;0;0.09;0.09
473;"André Almeida";"Valencia";34;2019;0;0;4;1.44;1.44;3.68;7.72;4.68;0.06;0.06;0.16;0.23;0.23;0.34;0.21
474;"Pep Chavarría";"Rayo Vallecano";34;2574;0;0;1;1.25;1.25;1.71;7.24;4.99;0.04;0.04;0.06;0.1;0.1;0.25;0.17
475;"Lucas Rosa";"Real Valladolid";21;1890;0;0;1;0.86;0.86;2.02;5.4;3.04;0.04;0.04;0.1;0.14;0.14;0.26;0.14
476;"Jon Magunacelaya";"Real Sociedad";2;5;0;0;0;0;0;0;0.67;0.67;0;0;0;0;0;11.98;11.98
477;"Diego Hormigo";"Sevilla";1;37;0;0;0;0.12;0.12;0;0.12;0.12;0.28;0.28;0;0.28;0.28;0.28;0.28
478;"Mario Martín";"Real Valladolid";30;1740;0;0;1;1.67;1.67;1.38;6.02;3.7;0.09;0.09;0.07;0.16;0.16;0.31;0.19
479;"José Gragera";"Espanyol";10;580;0;0;0;0.04;0.04;0.02;1.26;1.22;0.01;0.01;0;0.01;0.01;0.2;0.19
480;"Iker Muñoz";"Osasuna";23;554;0;0;1;0.52;0.52;0.97;3.56;2.66;0.08;0.08;0.16;0.24;0.24;0.58;0.43
481;"Alberto Mari";"Valencia";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482;"Mario Maroto";"Real Valladolid";2;56;0;0;1;0.02;0.02;0.03;0.1;0.06;0.03;0.03;0.04;0.07;0.07;0.17;0.1
483;"Francisco González";"Real Madrid";1;90;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;0.06;0.06
484;"Daniel Rodríguez";"Barcelona";1;37;0;0;0;0.04;0.04;0;0.31;0.26;0.1;0.1;0;0.1;0.1;0.74;0.64
485;"Martín Tejón";"Valencia";4;32;0;0;0;0.08;0.08;0.03;0.1;0;0.21;0.21;0.08;0.29;0.29;0.29;0
486;"Silvi Clua";"Girona";4;163;0;0;0;0.03;0.03;0.03;0.68;0.61;0.02;0.02;0.02;0.04;0.04;0.38;0.34
487;"Iker Almena";"Girona";2;40;0;0;1;0.04;0.04;0.53;0.67;0.13;0.09;0.09;1.19;1.28;1.28;1.51;0.29
488;"Álex Suárez";"Las Palmas";30;2498;0;0;0;0.32;0.32;0.19;3.2;3.08;0.01;0.01;0.01;0.02;0.02;0.12;0.11
489;"Kirian Rodríguez";"Las Palmas";21;1792;0;0;3;1.69;1.69;1.67;7.69;5.61;0.09;0.09;0.08;0.17;0.17;0.39;0.28
490;"Pejiño";"Las Palmas";1;12;0;0;0;0.03;0.03;0;0.03;0;0.2;0.2;0;0.2;0.2;0.2;0
491;"Juan Herzog";"Las Palmas";19;1321;0;0;0;0.59;0.59;0;2.7;2.6;0.04;0.04;0;0.04;0.04;0.18;0.18
492;"Siebe Van der Heyden";"Mallorca";2;92;0;0;0;0.03;0.03;0.04;0.29;0.29;0.03;0.03;0.04;0.07;0.07;0.29;0.29
493;"Javier Martón";"Athletic Club";3;43;0;0;0;0;0;0;0.45;0.45;0;0;0;0;0;0.94;0.94
494;"Akor Adams";"Sevilla";4;122;0;0;0;0.43;0.43;0;0.5;0.07;0.32;0.32;0;0.32;0.32;0.37;0.05
495;"Abderrahmane Rebbach";"Alaves";8;381;0;0;0;0.33;0.33;0.28;1.15;0.67;0.08;0.08;0.07;0.14;0.14;0.27;0.16
496;"André Ferreira";"Real Valladolid";6;540;0;0;0;0;0;0;0.54;0.54;0;0;0;0;0;0.09;0.09
497;"Adrià Alti";"Leganes";22;1645;0;0;0;0.25;0.25;0.59;2.44;2.06;0.01;0.01;0.03;0.05;0.05;0.13;0.11
498;"Sergi Altimira";"Real Betis";32;1985;0;0;1;1.64;1.64;1.77;11.46;9.53;0.07;0.07;0.08;0.15;0.15;0.52;0.43
499;"Daniel Luna";"Mallorca";2;15;0;0;0;0;0;0;0.11;0.11;0;0;0;0;0;0.67;0.67
500;"Pau Cubarsí";"Barcelona";35;2631;0;0;3;0.94;0.94;1.54;17.26;17.15;0.03;0.03;0.05;0.08;0.08;0.59;0.59
501;"Gonzalo García";"Real Madrid";3;46;0;0;1;0.49;0.49;0.92;1.41;0.92;0.96;0.96;1.81;2.76;2.76;2.76;1.81
502;"David López";"Mallorca";2;172;0;0;0;0;0;0;0.01;0.01;0;0;0;0;0;0.01;0.01
503;"Adrián Niño";"Atletico Madrid";1;10;0;0;0;0.16;0.16;0;0.16;0;1.43;1.43;0;1.43;1.43;1.43;0
504;"Yarek Gasiorowski";"Valencia";15;944;0;0;0;1.03;1.03;0.16;1.63;1.61;0.1;0.1;0.02;0.11;0.11;0.16;0.15
505;"Nabil Aberdin";"Getafe";7;270;0;0;0;0.03;0.03;0.01;0.09;0.06;0.01;0.01;0;0.01;0.01;0.03;0.02
