"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
399;"Omar Traoré";"FC Heidenheim";30;2630;0;0;1;0.45;0.45;1.65;4.69;3.65;0.02;0.02;0.06;0.07;0.07;0.16;0.12
400;"Stefan Schimmer";"FC Heidenheim";13;220;0;0;0;1.15;1.15;0.22;0.76;0.08;0.47;0.47;0.09;0.56;0.56;0.31;0.03
401;"Norman Theuerkauf";"FC Heidenheim";1;19;0;0;0;0.04;0.04;0;0;0;0.18;0.18;0;0.18;0.18;0;0
402;"Benedikt Gimber";"FC Heidenheim";32;2697;0;0;0;0.78;0.78;0.51;2.01;1.75;0.03;0.03;0.02;0.04;0.04;0.07;0.06
403;"Arthur";"Bayer Leverkusen";20;730;0;0;1;0.07;0.07;0.69;3.23;2.47;0.01;0.01;0.09;0.09;0.09;0.4;0.3
404;"Nicolas Seiwald";"RasenBallsport Leipzig";30;2081;0;0;0;0.16;0.16;2.61;7.61;6.74;0.01;0.01;0.11;0.12;0.12;0.33;0.29
405;"Jan-Niklas Beste";"Freiburg";12;169;0;0;1;0.62;0.62;0.61;1.45;0.4;0.33;0.33;0.33;0.66;0.66;0.77;0.21
406;"Skelly Alvero";"Werder Bremen";12;222;0;0;0;0.03;0.03;0;0.17;0.17;0.01;0.01;0;0.01;0.01;0.07;0.07
407;"Thomas Keller";"FC Heidenheim";6;141;0;0;0;0.01;0.01;0;0.6;0.59;0.01;0.01;0;0.01;0.01;0.39;0.38
408;"Olivier Deman";"Werder Bremen";9;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
409;"Daniel Peretz";"Bayern Munich";3;270;0;0;0;0;0;0;0.51;0.51;0;0;0;0;0;0.17;0.17
410;"Aliou Balde";"Bochum";5;76;0;0;0;0.15;0.15;0.43;0.56;0.03;0.18;0.18;0.51;0.69;0.69;0.66;0.03
411;"Mikkel Kaufmann";"FC Heidenheim";9;357;0;0;0;0.48;0.48;0.17;1.22;0.57;0.12;0.12;0.04;0.16;0.16;0.31;0.14
412;"Jordy Makengo";"Freiburg";19;716;0;0;0;0;0;0.46;3.65;3.19;0;0;0.06;0.06;0.06;0.46;0.4
413;"Kauã Santos";"Eintracht Frankfurt";9;762;0;0;0;0;0;0.05;1.47;1.42;0;0;0.01;0.01;0.01;0.17;0.17
414;"Moritz-Broni Kwarteng";"Bochum";7;153;0;0;0;0.16;0.16;0.18;1.23;0.94;0.09;0.09;0.11;0.2;0.2;0.73;0.55
415;"Samuel Bamba";"Bochum";5;17;0;0;0;0.31;0.31;0.02;0.31;0.03;1.66;1.66;0.09;1.75;1.75;1.64;0.17
416;"Adam Aznou";"Bayern Munich";2;9;0;0;0;0;0;0;0.11;0.11;0;0;0;0;0;1.14;1.14
417;"David Jurásek";"Hoffenheim";14;604;0;0;1;0.09;0.09;1.29;2.21;1.6;0.01;0.01;0.19;0.21;0.21;0.33;0.24
418;"Arthur Vermeeren";"RasenBallsport Leipzig";28;1591;0;0;2;0.22;0.22;0.94;6.02;5.13;0.01;0.01;0.05;0.07;0.07;0.34;0.29
419;"Kjell-Arik Wätjen";"Borussia Dortmund";2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420;"Anrie Chase";"VfB Stuttgart";12;719;0;0;0;0.2;0.2;0.05;6.08;6.04;0.02;0.02;0.01;0.03;0.03;0.76;0.76
421;"Tim Drexler";"Hoffenheim";8;364;0;0;0;0.05;0.05;0.02;1.7;1.68;0.01;0.01;0;0.02;0.02;0.42;0.41
422;"Max Moerstedt";"Hoffenheim";12;445;0;0;0;0.85;0.85;0.41;1.46;0.42;0.17;0.17;0.08;0.26;0.26;0.3;0.08
423;"Frank Feller";"FC Heidenheim";2;116;0;0;0;0;0;0;1.03;1.03;0;0;0;0;0;0.8;0.8
424;"Kosta Nedeljkovic";"RasenBallsport Leipzig";10;479;0;0;0;0.64;0.64;0.28;1.24;0.52;0.12;0.12;0.05;0.17;0.17;0.23;0.1
425;"Kaishu Sano";"Mainz 05";34;3051;0;0;0;0.91;0.91;1.32;9.06;7.51;0.03;0.03;0.04;0.07;0.07;0.27;0.22
426;"Nikolas Veratschnig";"Mainz 05";15;329;0;0;0;0.3;0.3;0.19;2.13;1.7;0.08;0.08;0.05;0.13;0.13;0.58;0.46
427;"Nediljko Labrovic";"Augsburg";15;1350;0;0;0;0;0;0;0.49;0.49;0;0;0;0;0;0.03;0.03
428;"Bruno Ogbus";"Freiburg";2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
429;"Ramon Hendriks";"VfB Stuttgart";25;1108;0;0;1;0.36;0.36;1.45;4.76;3.89;0.03;0.03;0.12;0.15;0.15;0.39;0.32
430;"Alexander Prass";"Hoffenheim";23;1584;0;0;1;1.1;1.1;3.07;9;5.42;0.06;0.06;0.17;0.24;0.24;0.51;0.31
431;"Florian Micheler";"Hoffenheim";1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
