Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
619,Andy Smith,sct SCO,DF,Gillingham,22,2001,12,12,"1,080",12,0,0,0,0,0,0,2,0,0,0,0,0,0,619,sct SCO,DF,22,2001,12,0,8,1,12.5,0.67,0.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
556,Anjola Popoola,eng ENG,FW,Accrington Stanley,17,2007,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,556,eng ENG,FW,17,2007,0.2,0,2,0,0,10,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
193,Anthony Driscoll-Glennon,eng ENG,"DF,MF",Newport County,24,1999,39,34,"3,150",35,0,8,8,0,0,0,8,0,0,0.23,0.23,0,0.23,193,eng ENG,"DF,MF",24,1999,35,0,12,6,50,0.34,0.17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
510,Anthony O'Connor,ie IRL,DF,Harrogate Town FC,31,1992,45,45,"4,050",45,1,1,2,1,0,0,4,0,0.02,0.02,0.04,0.02,0.04,510,ie IRL,DF,31,1992,45,1,23,5,21.7,0.51,0.11,0.04,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
600,Anthony Scully,ie IRL,MF,Colchester United,25,1999,15,2,451,5,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,0.2,600,ie IRL,MF,25,1999,5,1,5,2,40,1,0.4,0.2,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
196,Anton Dudik,ua UKR,FW,Carlisle United,19,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,196,ua UKR,FW,19,2005,0.1,0,1,1,100,7.5,7.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
591,Antoni Sarcevic,eng ENG,MF,Bradford City,32,1992,24,20,"1,684",18.7,7,4,11,6,1,1,7,0,0.37,0.21,0.59,0.32,0.53,591,eng ENG,MF,32,1992,18.7,7,39,11,28.2,2.08,0.59,0.15,0.55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
275,Antwoine Hackford,eng ENG,"FW,MF",Port Vale,20,2004,24,11,922,10.2,4,1,5,4,0,0,1,0,0.39,0.1,0.49,0.39,0.49,275,eng ENG,"FW,MF",20,2004,10.2,4,14,9,64.3,1.37,0.88,0.29,0.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
167,Archie Davies,eng ENG,"DF,MF",Carlisle United,25,1998,21,21,"1,726",19.2,1,2,3,1,0,0,7,0,0.05,0.1,0.16,0.05,0.16,167,eng ENG,"DF,MF",25,1998,19.2,1,8,3,37.5,0.42,0.16,0.13,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
549,Aribim Pepple,ca CAN,FW,Chesterfield,21,2002,20,14,"1,152",12.8,5,1,6,5,0,0,1,0,0.39,0.08,0.47,0.39,0.47,549,ca CAN,FW,21,2002,12.8,5,28,10,35.7,2.19,0.78,0.18,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
358,Arkell Jude-Boyd,lc LCA,"DF,MF",Cheltenham Town,21,2003,34,29,"2,621",29.1,3,3,6,3,0,0,8,0,0.1,0.1,0.21,0.1,0.21,358,lc LCA,"DF,MF",21,2003,29.1,3,34,11,32.4,1.17,0.38,0.09,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
187,Armando Dobra,al ALB,MF,Chesterfield,23,2001,42,36,"3,105",34.5,9,2,11,9,0,0,8,0,0.26,0.06,0.32,0.26,0.32,187,al ALB,MF,23,2001,34.5,9,93,28,30.1,2.7,0.81,0.1,0.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
406,Armani Little,eng ENG,MF,Gillingham,27,1997,33,30,"2,713",30.1,2,2,4,2,0,0,11,0,0.07,0.07,0.13,0.07,0.13,406,eng ENG,MF,27,1997,30.1,2,23,8,34.8,0.76,0.27,0.09,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
593,Aron Sasu,no NOR,"MF,FW",AFC Wimbledon,19,2005,22,4,575,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,593,no NOR,"MF,FW",19,2005,6.4,0,6,1,16.7,0.94,0.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
569,Arthur Read,eng ENG,MF,Colchester United,24,1999,39,23,"2,194",24.4,1,2,3,1,0,1,3,0,0.04,0.08,0.12,0.04,0.12,569,eng ENG,MF,24,1999,24.4,1,38,9,23.7,1.56,0.37,0.03,0.11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
536,Ash Palmer,eng ENG,DF,Chesterfield,31,1992,15,15,"1,340",14.9,2,2,4,2,0,0,0,0,0.13,0.13,0.27,0.13,0.27,536,eng ENG,DF,31,1992,14.9,2,12,4,33.3,0.81,0.27,0.17,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
11,Asher Agbinone,eng ENG,"MF,FW",Gillingham,18,2005,6,5,329,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,eng ENG,"MF,FW",18,2005,3.7,0,9,3,33.3,2.46,0.82,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
111,Ashley Charles,gd GRN,MF,Bromley,25,1999,28,25,"1,979",22,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05,111,gd GRN,MF,25,1999,22,0,5,2,40,0.23,0.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
294,Ashley Hay,eng ENG,"FW,MF",Cheltenham Town,21,2003,21,10,996,11.1,3,1,4,3,0,0,0,0,0.27,0.09,0.36,0.27,0.36,294,eng ENG,"FW,MF",21,2003,11.1,3,17,10,58.8,1.54,0.9,0.18,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
324,Ashley Hunter,eng ENG,"MF,FW",Accrington Stanley,28,1995,21,9,961,10.7,0,1,1,0,0,0,6,0,0,0.09,0.09,0,0.09,324,eng ENG,"MF,FW",28,1995,10.7,0,14,4,28.6,1.31,0.37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
308,Bailey Hobson,eng ENG,MF,Chesterfield,21,2002,11,4,409,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,308,eng ENG,MF,21,2002,4.5,0,5,3,60,1.1,0.66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
186,Baylee Dipepa,eng ENG,FW,Port Vale,17,2007,3,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,186,eng ENG,FW,17,2007,0.7,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
23,Ben Amos,eng ENG,GK,Port Vale,34,1990,23,23,"2,070",23,0,0,0,0,0,0,2,0,0,0,0,0,0,23,eng ENG,GK,34,1990,23,0,0,0,,0,0,,,0,0,1,eng ENG,GK,34,1990,23,23,"2,070",23,22,0.96,70,53,74.3,12,7,4,9,39.1,5,4,1,0,20,ENG-League Two
49,Ben Barclay,eng ENG,"DF,MF",Carlisle United,27,1996,22,14,"1,221",13.6,1,1,2,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,49,eng ENG,"DF,MF",27,1996,13.6,1,17,6,35.3,1.25,0.44,0.06,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
125,Ben Close,eng ENG,MF,Doncaster Rovers,27,1996,7,3,242,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,125,eng ENG,MF,27,1996,2.7,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
239,Ben Fox,eng ENG,MF,Harrogate Town FC,26,1998,14,13,"1,065",11.8,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,239,eng ENG,MF,26,1998,11.8,1,7,1,14.3,0.59,0.08,0.14,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
251,Ben Garrity,eng ENG,MF,Port Vale,27,1997,29,27,"2,382",26.5,5,3,8,5,0,0,3,0,0.19,0.11,0.3,0.19,0.3,251,eng ENG,MF,27,1997,26.5,5,37,11,29.7,1.4,0.42,0.14,0.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
257,Ben Goodliffe,eng ENG,DF,Colchester United,25,1999,11,8,649,7.2,3,0,3,3,0,0,1,0,0.42,0,0.42,0.42,0.42,257,eng ENG,DF,25,1999,7.2,3,7,4,57.1,0.97,0.55,0.43,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
304,Ben Heneghan,eng ENG,DF,Port Vale,30,1993,25,18,"1,736",19.3,0,0,0,0,0,0,4,0,0,0,0,0,0,304,eng ENG,DF,30,1993,19.3,0,9,3,33.3,0.47,0.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
336,Ben Jackson,eng ENG,"DF,MF",Barrow,23,2001,45,43,"3,857",42.9,1,10,11,1,0,0,4,0,0.02,0.23,0.26,0.02,0.26,336,eng ENG,"DF,MF",23,2001,42.9,1,50,13,26,1.17,0.3,0.02,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
664,Ben Thompson,eng ENG,MF,Bromley,28,1995,42,38,"3,354",37.3,6,1,7,6,0,0,8,0,0.16,0.03,0.19,0.16,0.19,664,eng ENG,MF,28,1995,37.3,6,60,14,23.3,1.61,0.38,0.1,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
675,Ben Tollitt,eng ENG,"MF,FW",Morecambe,29,1994,39,28,"2,454",27.3,6,2,8,6,0,0,3,0,0.22,0.07,0.29,0.22,0.29,675,eng ENG,"MF,FW",29,1994,27.3,6,44,14,31.8,1.61,0.51,0.14,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
727,Ben Whitfield,eng ENG,"MF,FW",Barrow,28,1996,17,13,"1,105",12.3,2,5,7,1,1,1,1,0,0.16,0.41,0.57,0.08,0.49,727,eng ENG,"MF,FW",28,1996,12.3,2,21,6,28.6,1.71,0.49,0.05,0.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
732,Ben Williams,wls WAL,"DF,MF",Carlisle United,25,1999,8,8,535,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,732,wls WAL,"DF,MF",25,1999,5.9,0,4,1,25,0.67,0.17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
749,Ben Woodburn,wls WAL,"MF,FW",Salford City FC,24,1999,33,27,"2,058",22.9,3,6,9,3,0,0,7,0,0.13,0.26,0.39,0.13,0.39,749,wls WAL,"MF,FW",24,1999,22.9,3,38,13,34.2,1.66,0.57,0.08,0.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
750,Ben Woods,eng ENG,MF,Accrington Stanley,21,2002,36,31,"2,765",30.7,8,7,15,8,0,0,10,0,0.26,0.23,0.49,0.26,0.49,750,eng ENG,MF,21,2002,30.7,8,54,18,33.3,1.76,0.59,0.15,0.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
70,Benicio Boaitey,eng ENG,MF,Port Vale,20,2004,10,3,359,4,0,2,2,0,0,0,2,0,0,0.5,0.5,0,0.5,70,eng ENG,MF,20,2004,4,0,7,1,14.3,1.75,0.25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
