Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
104,Ciaron Brown,nir NIR,DF,Oxford United,26,1998,40.1,6,0,0,20,33,0,13,54,21,,,0,Matches
105,Dajaune Brown,jm JAM,FW,Derby County,18,2005,4.3,0,0,0,7,3,0,1,2,4,,,0,Matches
106,Jacob Brown,sct SCO,"MF,FW",Luton Town,26,1998,13.5,4,0,0,19,36,3,12,5,8,,,0,Matches
107,Alan Browne,ie IRL,"MF,DF",Sunderland,29,1995,13.5,1,0,0,17,27,1,25,10,11,,,0,Matches
108,Josh Brownhill,eng ENG,MF,Burnley,28,1995,38.6,5,0,0,51,24,4,57,32,42,,,0,Matches
109,Joe Bryan,eng ENG,DF,Millwall,30,1993,36.4,8,0,0,42,39,0,160,71,63,,,2,Matches
110,Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,5.7,0,0,0,0,0,0,0,0,2,,,0,Matches
111,John Buckley,eng ENG,MF,Blackburn Rovers,24,1999,9.5,5,0,0,20,15,1,21,15,16,,,0,Matches
112,Mustapha Bundu,sl SLE,"FW,MF",Plymouth Argyle,27,1997,25.6,4,0,0,43,29,15,36,14,17,,,0,Matches
113,Wouter Burger,nl NED,MF,Stoke City,23,2001,33.4,10,0,0,72,19,0,18,56,55,,,0,Matches
114,Delano Burgzorg,sr SUR,MF,Middlesbrough,25,1998,24.3,2,0,0,21,45,12,10,3,20,,,0,Matches
115,Reece Burke,eng ENG,"DF,MF",Luton Town,27,1996,9.5,4,0,0,7,5,0,13,14,12,,,0,Matches
116,Finley Burns,eng ENG,"DF,MF",Hull City,21,2003,3.5,1,0,0,6,1,0,0,9,3,,,0,Matches
117,Harrison Burrows,eng ENG,DF,Sheffield United,22,2002,38.4,2,0,0,20,51,9,212,30,56,,,1,Matches
118,Mason Burstow,eng ENG,"FW,MF",Hull City,20,2003,10.6,1,0,0,20,10,8,18,3,9,,,0,Matches
119,Sam Byram,eng ENG,DF,Leeds United,30,1993,15.7,4,0,0,19,13,5,18,22,20,,,1,Matches
120,Ben Cabango,wls WAL,DF,Swansea City,24,2000,44.8,9,0,0,32,20,0,4,41,60,,,1,Matches
121,Tyrese Campbell,eng ENG,FW,Sheffield United,24,1999,17.6,2,0,0,18,18,9,16,0,4,,,0,Matches
122,Thomas Cannon,ie IRL,FW,Stoke City,21,2002,20.6,3,0,0,27,22,12,9,1,10,,,0,Matches
123,Thomas Cannon,ie IRL,FW,Sheffield United,21,2002,7.6,0,0,0,5,3,4,3,0,0,,,0,Matches
124,Todd Cantwell,eng ENG,MF,Blackburn Rovers,26,1998,27.5,6,0,0,37,82,7,138,21,40,,,0,Matches
125,Theo Carroll,eng ENG,MF,Preston North End,17,2007,0,0,0,0,0,0,0,1,0,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Hayden Carter,eng ENG,DF,Blackburn Rovers,24,1999,15.1,5,0,0,23,4,1,14,20,15,,,0,Matches
127,Eiran Cashin,ie IRL,DF,Derby County,22,2001,19.8,5,0,0,19,13,1,7,42,34,,,0,Matches
128,Žan Celar,si SVN,FW,Queens Park Rangers,25,1999,10.5,1,0,0,9,6,12,3,0,1,,,0,Matches
129,Ilias Chair,ma MAR,"MF,FW",Queens Park Rangers,26,1997,18.9,2,0,0,8,9,3,117,6,11,,,0,Matches
130,Giorgi Chakvetadze,ge GEO,"MF,FW",Watford,24,1999,36.5,6,0,0,32,51,3,169,11,34,,,0,Matches
131,Nathaniel Chalobah,eng ENG,MF,Sheffield Weds,29,1994,4.9,3,0,0,11,7,0,3,12,3,,,0,Matches
132,Calum Chambers,eng ENG,"DF,MF",Cardiff City,29,1995,39,8,1,0,52,13,3,20,54,46,,,1,Matches
133,Samuel Chambers,eng ENG,MF,Leeds United,16,2007,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
134,Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,1,0,0,0,2,0,0,0,0,,,0,Matches
135,Shea Charles,nir NIR,MF,Sheffield Weds,20,2003,40.3,10,0,0,57,80,1,158,55,58,,,0,Matches
136,Tawanda Chirewa,zw ZIM,MF,Derby County,20,2003,1.7,1,0,0,6,0,0,0,1,6,,,0,Matches
137,Tahith Chong,cw CUW,"MF,FW",Luton Town,24,1999,22.5,5,0,0,29,49,3,59,9,14,,,0,Matches
138,Hamza Choudhury,bd BAN,"MF,DF",Sheffield United,26,1997,12.3,2,0,0,12,10,0,6,27,21,,,0,Matches
139,Benjamin Chrisene,eng ENG,DF,Norwich City,20,2004,12.8,2,0,0,16,18,2,20,13,24,,,0,Matches
140,Cyrus Christie,ie IRL,DF,Swansea City,31,1992,3.1,1,0,0,4,2,0,2,3,1,,,0,Matches
