Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
532,Alex Sola,es ESP,MF,Getafe,25,1999,19,13,"1,029",11.4,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09,532,es ESP,MF,25,1999,11.4,0,14,1,7.1,1.22,0.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
550,Alexander Sørloth,no NOR,FW,Atlético Madrid,28,1995,35,15,"1,566",17.4,20,2,22,19,1,1,4,0,1.15,0.11,1.26,1.09,1.21,550,no NOR,FW,28,1995,17.4,20,79,42,53.2,4.54,2.41,0.24,0.45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
21,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,26,14,"1,371",15.2,5,2,7,5,0,0,1,1,0.33,0.13,0.46,0.33,0.46,21,es ESP,"FW,MF",25,1999,15.2,5,45,21,46.7,2.95,1.38,0.11,0.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
182,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,16,9,833,9.3,0,1,1,0,0,0,4,0,0,0.11,0.11,0,0.11,182,uy URU,DF,32,1992,9.3,0,10,2,20,1.08,0.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
438,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,12,4,460,5.1,0,2,2,0,0,0,0,0,0,0.39,0.39,0,0.39,438,es ESP,"DF,MF",28,1996,5.1,0,5,2,40,0.98,0.39,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
414,Allan Nyom,cm CMR,"MF,DF",Getafe,36,1988,20,10,887,9.9,1,2,3,1,0,0,4,0,0.1,0.2,0.3,0.1,0.3,414,cm CMR,"MF,DF",36,1988,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
32,Amath,sn SEN,"FW,MF",Valladolid,28,1996,13,5,375,4.2,0,1,1,0,0,0,1,0,0,0.24,0.24,0,0.24,32,sn SEN,"FW,MF",28,1996,4.2,0,5,1,20,1.2,0.24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
173,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,20,6,700,7.8,3,1,4,3,0,0,2,0,0.39,0.13,0.51,0.39,0.51,173,gr GRE,FW,24,1999,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
68,Ander Barrenetxea,es ESP,MF,Real Sociedad,22,2001,30,14,"1,263",14,1,3,4,1,0,0,6,0,0.07,0.21,0.29,0.07,0.29,68,es ESP,MF,22,2001,14,1,25,8,32,1.78,0.57,0.04,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
242,Ander Guevara,es ESP,MF,Alavés,27,1997,33,20,"1,947",21.6,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,242,es ESP,MF,27,1997,21.6,0,12,3,25,0.55,0.14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
