Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
67,Lewis Billington,eng ENG,"DF,MF",Crewe Alexandra,20,2004,16.8,4,0,0,10,8,0,34,12,15,,,0,Matches
68,Bryant Bilongo,eng ENG,DF,Harrogate Town FC,22,2001,10.4,3,0,0,16,18,0,21,12,15,,,0,Matches
69,Teddy Bishop,eng ENG,MF,Colchester United,28,1996,20.9,2,0,0,13,41,0,46,16,24,,,0,Matches
70,Benicio Boaitey,eng ENG,MF,Port Vale,20,2004,4,2,0,0,7,7,0,28,0,4,,,0,Matches
71,Omar Bogle,eng ENG,FW,Crewe Alexandra,31,1993,15.7,1,0,0,33,35,17,10,3,7,,,0,Matches
72,James Bolton,eng ENG,DF,Fleetwood Town,29,1994,35.7,7,0,0,32,30,2,3,30,38,,,1,Matches
73,Elliott Bonds,gy GUY,MF,Fleetwood Town,24,2000,29.7,9,0,0,42,25,0,21,21,48,,,0,Matches
74,Geoffroy Bony,wls WAL,FW,Newport County,19,2004,2.1,0,0,0,2,2,0,3,0,3,,,0,Matches
75,Ryan Boot,eng ENG,GK,Chesterfield,29,1994,28,0,0,0,1,6,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Ryan Bowman,eng ENG,FW,Cheltenham Town,32,1991,9.4,2,0,0,25,13,4,3,0,0,,,0,Matches
77,Tom Bradbury,eng ENG,DF,Cheltenham Town,26,1998,37.9,3,1,1,38,18,0,49,55,28,,,0,Matches
78,Zak Bradshaw,eng ENG,"MF,DF",Tranmere Rovers,20,2003,12.9,4,0,0,14,6,1,17,20,14,,,0,Matches
79,Jack Bray,eng ENG,FW,Harrogate Town FC,17,2007,0.2,1,0,0,1,0,0,0,0,0,,,0,Matches
80,Kian Breckin,eng ENG,MF,Crewe Alexandra,20,2003,3.4,2,0,0,10,1,0,7,3,5,,,0,Matches
81,Gabriel Breeze,eng ENG,GK,Carlisle United,20,2003,32,5,0,0,1,14,0,0,0,1,,,0,Matches
82,Ciaran Brennan,ie IRL,"DF,MF",Newport County,24,2000,25.3,3,2,0,16,16,1,4,23,39,,,0,Matches
83,George Broadbent,eng ENG,MF,Doncaster Rovers,23,2000,28.5,6,0,0,33,19,0,23,31,26,,,0,Matches
84,Ryan Broom,wls WAL,"MF,DF",Fleetwood Town,27,1996,12.8,2,0,0,15,10,1,46,4,16,,,0,Matches
85,Charlie Brown,eng ENG,"FW,MF",Morecambe,24,1999,0.5,1,0,0,0,2,0,0,0,0,,,0,Matches
86,Charlie Brown,eng ENG,MF,Accrington Stanley,24,1999,2.5,0,0,0,3,6,1,10,2,2,,,0,Matches
87,Henry Brown,,MF,Grimsby Town,,,0,0,0,0,1,0,0,0,0,0,,,0,Matches
88,Jaxon Brown,,MF,Swindon Town,,,1.6,0,0,0,1,6,0,1,0,1,,,0,Matches
89,Jevani Brown,jm JAM,MF,Notts County,29,1994,5.4,1,0,0,11,6,1,3,2,10,,,0,Matches
90,Marcus Browne,eng ENG,"MF,FW",AFC Wimbledon,26,1997,11.1,4,0,0,29,20,4,8,3,9,,,0,Matches
91,Omar Bugiel,lb LIB,FW,AFC Wimbledon,30,1994,31.7,9,0,0,86,58,13,13,4,40,,,0,Matches
92,Tyler Burey,eng ENG,MF,Carlisle United,22,2001,5,1,0,0,5,8,0,19,4,5,,,0,Matches
93,Harry Burgoyne,eng ENG,GK,Morecambe,27,1996,26.8,1,0,0,0,3,0,0,0,1,,,0,Matches
94,Darragh Burns,nir NIR,"MF,FW",Grimsby Town,21,2002,2.8,1,0,0,3,10,1,9,4,1,,,0,Matches
95,Warren Burrell,eng ENG,"DF,MF",Harrogate Town FC,34,1990,20.8,1,0,0,21,11,1,17,24,25,,,0,Matches
96,Daniel Butterworth,eng ENG,"FW,MF",Carlisle United,24,1999,0.5,0,0,0,1,1,1,4,0,0,,,0,Matches
97,Daniel Butterworth,eng ENG,"MF,FW",Swindon Town,24,1999,21.1,3,0,0,15,13,2,43,6,9,,,0,Matches
98,Jack Bycroft,eng ENG,GK,Swindon Town,22,2001,20.2,0,0,0,0,3,0,0,0,0,,,0,Matches
99,George Byers,sct SCO,MF,Port Vale,28,1996,14.9,3,0,0,20,15,0,36,9,23,,,0,Matches
100,Neill Byrne,ie IRL,DF,Bradford City,31,1993,23.2,6,0,0,25,13,2,12,25,25,,,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Jake Cain,eng ENG,"DF,MF",Swindon Town,22,2001,8.7,2,0,0,7,7,0,31,7,12,,,0,Matches
102,Kyle Cameron,sct SCO,DF,Barrow,27,1997,15.1,1,1,0,12,16,1,7,13,15,,,1,Matches
103,Dean Campbell,sct SCO,MF,Barrow,23,2001,29,7,0,0,32,46,1,13,48,39,,,0,Matches
104,Niall Canavan,ie IRL,DF,Barrow,33,1991,35,3,0,0,22,15,2,1,34,16,,,0,Matches
105,Jacob Carney,eng ENG,GK,Newport County,23,2001,3,0,0,0,0,2,0,0,0,0,,,0,Matches
106,Tom Carroll,eng ENG,MF,Milton Keynes Dons,32,1992,5.4,0,0,0,5,3,0,4,3,2,,,0,Matches
107,Matthew Carson,eng ENG,DF,Grimsby Town,21,2002,1.6,3,0,0,4,1,0,16,2,8,,,0,Matches
108,Lewis Cass,eng ENG,DF,Grimsby Town,24,2000,18.4,3,1,1,7,7,1,19,36,20,,,0,Matches
109,Charlie Caton,eng ENG,FW,Accrington Stanley,21,2002,4.2,0,0,0,0,0,1,10,1,1,,,0,Matches
110,Alfie Chang,eng ENG,MF,Walsall,21,2002,2.5,1,0,0,5,5,0,4,0,3,,,0,Matches
111,Ashley Charles,gd GRN,MF,Bromley,25,1999,22,5,1,0,29,28,0,30,27,29,,,0,Matches
112,Taylor Charters,eng ENG,"MF,FW",Carlisle United,22,2001,2.2,1,0,0,1,3,0,5,1,2,,,0,Matches
113,Michael Cheek,eng ENG,FW,Bromley,36,1988,42.1,8,0,0,48,46,22,9,12,9,,,0,Matches
114,Daniel Chesters,eng ENG,"MF,DF",Salford City FC,22,2002,5,2,0,0,2,9,0,11,2,6,,,0,Matches
115,Adam Chicksen,zw ZIM,MF,Notts County,32,1991,1.4,0,0,0,0,0,0,6,1,1,,,0,Matches
116,Ethan Chislett,eng ENG,"MF,FW",Port Vale,24,2000,15.5,3,0,0,11,48,5,66,7,19,,,0,Matches
117,Madou Cisse,,FW,Notts County,,,0.7,0,0,0,2,0,0,2,0,0,,,0,Matches
118,Max Clark,eng ENG,"DF,MF",Gillingham,28,1996,37.6,6,0,0,32,23,2,187,31,81,,,0,Matches
119,Mitchell Clark,wls WAL,MF,Port Vale,25,1999,16,4,1,0,20,16,2,71,12,15,,,0,Matches
120,James Clarke,eng ENG,DF,Newport County,34,1989,22.9,2,0,0,8,32,1,0,9,9,,,0,Matches
121,Jayden Clarke,eng ENG,MF,Gillingham,23,2001,21,6,0,0,22,29,2,17,4,21,,,0,Matches
122,Ollie Clarke,eng ENG,"MF,DF",Swindon Town,32,1992,23.2,12,0,0,41,26,0,36,21,36,,,0,Matches
123,Reyes Cleary,eng ENG,"FW,MF",Walsall,20,2004,1,0,0,0,1,0,0,0,0,2,,,0,Matches
124,Harry Clifton,wls WAL,MF,Doncaster Rovers,26,1998,24.4,8,1,1,47,32,1,28,8,34,,,0,Matches
125,Ben Close,eng ENG,MF,Doncaster Rovers,27,1996,2.7,0,0,0,2,2,0,7,0,6,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Ryan Colclough,eng ENG,"MF,FW",Chesterfield,29,1994,14.3,2,0,0,11,20,4,50,4,7,,,0,Matches
127,Ethan Coleman,eng ENG,MF,Gillingham,24,2000,15.9,5,1,1,27,22,1,8,19,23,,,0,Matches
128,Joel Colwill,wls WAL,MF,Cheltenham Town,19,2004,18.3,2,0,0,24,31,0,23,4,17,,,0,Matches
129,Brandon Comley,ms MSR,MF,Walsall,28,1995,6.7,1,0,0,8,9,0,4,4,9,,,0,Matches
130,Cameron Congreve,wls WAL,MF,Bromley,20,2004,26.8,0,0,0,16,19,4,138,8,34,,,0,Matches
131,Séamus Conneely,ie IRL,MF,Accrington Stanley,36,1988,18.1,4,0,0,11,23,0,8,31,22,,,0,Matches
132,James Connolly,wls WAL,DF,Crewe Alexandra,22,2001,13.4,3,0,0,15,13,1,1,11,7,,,0,Matches
133,Max Conway,eng ENG,"MF,DF",Crewe Alexandra,20,2003,41.5,5,0,0,24,65,7,126,34,56,,,0,Matches
134,Andy Cook,eng ENG,FW,Bradford City,33,1990,20.5,5,0,0,36,14,15,3,0,4,,,0,Matches
135,Connor Cook,,MF,Chesterfield,,,0,0,0,0,0,0,0,1,0,0,,,0,Matches
