Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
128,Alphadjo Cissè,it ITA,MF,Hellas Verona,17,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,it ITA,MF,17,2006,0.1,0,2,2,100,20,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
520,Amin Sarr,se SWE,FW,Hellas Verona,23,2001,32,25,"1,907",21.2,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,520,se SWE,FW,23,2001,21.2,4,23,7,30.4,1.09,0.33,0.17,0.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
499,Amir Richardson,ma MAR,MF,Fiorentina,22,2002,27,10,"1,099",12.2,1,1,2,1,0,0,6,0,0.08,0.08,0.16,0.08,0.16,499,ma MAR,MF,22,2002,12.2,1,11,5,45.5,0.9,0.41,0.09,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
505,Amir Rrahmani,xk KVX,DF,Napoli,30,1994,38,38,"3,406",37.8,1,3,4,1,0,0,2,0,0.03,0.08,0.11,0.03,0.11,505,xk KVX,DF,30,1994,37.8,1,28,4,14.3,0.74,0.11,0.04,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
514,Anass Salah-Eddine,ma MAR,MF,Roma,22,2002,3,2,152,1.7,0,1,1,0,0,0,0,0,0,0.59,0.59,0,0.59,514,ma MAR,MF,22,2002,1.7,0,2,1,50,1.18,0.59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
177,Anastasios Douvikas,gr GRE,FW,Como,24,1999,13,6,580,6.4,2,2,4,2,0,0,1,0,0.31,0.31,0.62,0.31,0.62,177,gr GRE,FW,24,1999,6.4,2,14,5,35.7,2.17,0.78,0.14,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
616,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,28,1995,35,32,"2,852",31.7,6,4,10,6,0,0,5,0,0.19,0.13,0.32,0.19,0.32,616,cm CMR,MF,28,1995,31.7,6,44,13,29.5,1.39,0.41,0.14,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
54,Andrea Belotti,it ITA,FW,Como,30,1993,18,7,593,6.6,2,0,2,2,0,0,1,0,0.3,0,0.3,0.3,0.3,54,it ITA,FW,30,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
97,Andrea Cambiaso,it ITA,"DF,MF",Juventus,24,2000,33,25,"2,221",24.7,2,3,5,2,0,0,4,0,0.08,0.12,0.2,0.08,0.2,97,it ITA,"DF,MF",24,2000,24.7,2,17,6,35.3,0.69,0.24,0.12,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
107,Andrea Carboni,it ITA,DF,Monza,23,2001,26,25,"2,191",24.3,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,107,it ITA,DF,23,2001,24.3,0,8,1,12.5,0.33,0.04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
132,Andrea Colpani,it ITA,MF,Fiorentina,25,1999,25,18,"1,450",16.1,2,1,3,2,0,0,1,0,0.12,0.06,0.19,0.12,0.19,132,it ITA,MF,25,1999,16.1,2,36,12,33.3,2.23,0.74,0.06,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
374,Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,374,it ITA,GK,20,2004,0.1,0,0,0,,0,0,,,0,0,17,it ITA,GK,20,2004,1,0,8,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,Serie A
465,Andrea Petagna,it ITA,FW,Monza,29,1995,13,2,335,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,465,it ITA,FW,29,1995,3.7,0,4,0,0,1.07,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
